#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.648138    0.648138           0
           2    0.655552    0.651845  0.00262124
           3    0.595036    0.632909   0.0155597
           4    0.632724    0.632862   0.0116698
           5    0.693926    0.645075   0.0143693
           6    0.594384    0.636626   0.0142432
           7    0.596144    0.630843   0.0133309
           8    0.688602    0.638063   0.0134786
           9    0.703856    0.645373   0.0138219
          10    0.600207    0.640857    0.013157
          11    0.724543    0.648465   0.0139886
          12      0.6913    0.652034   0.0132705
          13    0.670804    0.653478    0.012328
          14    0.689711    0.656066    0.011716
          15     0.73969    0.661641   0.0121893
          16    0.671659    0.662267   0.0114436
          17    0.634773     0.66065   0.0108841
          18    0.646439     0.65986    0.010308
          19     0.70197    0.662077   0.0100009
          20    0.658889    0.661917  0.00950215
