#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804455   -0.804455           0
           2   -0.805293   -0.804874 0.000296136
           3    -0.80231   -0.804019 0.000725326
           4   -0.804395   -0.804113 0.000550052
           5   -0.803882   -0.804067 0.000441988
           6   -0.805501   -0.804306 0.000428086
           7   -0.804123    -0.80428 0.000367725
           8   -0.802541   -0.804062 0.000380622
           9   -0.804378   -0.804097 0.000339938
          10   -0.804938   -0.804182 0.000316176
          11   -0.804342   -0.804196 0.000287771
          12   -0.805248   -0.804284 0.000276818
          13   -0.804698   -0.804316 0.000257355
          14   -0.803598   -0.804264 0.000244019
          15    -0.80531   -0.804334 0.000237505
          16   -0.805907   -0.804433 0.000242156
          17   -0.804478   -0.804435 0.000227926
          18    -0.80465   -0.804447 0.000215575
          19   -0.805132   -0.804483  0.00020722
          20   -0.805229    -0.80452 0.000200185
