#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.445242    0.445242           0
           2    0.428264    0.436753  0.00600266
           3    0.443839    0.439115  0.00444221
           4    0.433533    0.437719  0.00354403
           5    0.432097    0.436595  0.00300833
           6    0.433316    0.436049  0.00255609
           7    0.432863    0.435593  0.00223109
           8    0.436247    0.435675   0.0019537
           9    0.435945    0.435705  0.00173685
          10    0.431221    0.435257     0.00162
          11    0.435553    0.435284  0.00147295
          12    0.439521    0.435637  0.00139188
          13    0.429365    0.435154  0.00136586
          14    0.431319     0.43488  0.00129548
          15    0.433815    0.434809  0.00121106
          16    0.436507    0.434915  0.00114001
          17    0.436506    0.435009  0.00107678
          18    0.445362    0.435584  0.00116044
          19    0.438765    0.435752  0.00111138
          20    0.431087    0.435518  0.00108001
