#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.249258    0.249258           0
           2    0.250744    0.250001   0.0005252
           3    0.246955    0.248986 0.000899815
           4    0.248434    0.248848 0.000685356
           5    0.249416    0.248961 0.000557632
           6    0.250966    0.249296 0.000555838
           7    0.248134     0.24913 0.000500572
           8    0.248357    0.249033 0.000447225
           9    0.250881    0.249238 0.000442151
          10    0.246995    0.249014 0.000451278
          11    0.248412    0.248959 0.000413562
          12    0.247928    0.248873 0.000387926
          13    0.246667    0.248704 0.000393449
          14    0.247413    0.248611 0.000375989
          15    0.249705    0.248684 0.000357918
          16    0.249283    0.248722   0.0003375
          17    0.248203    0.248691 0.000319021
          18    0.247631    0.248632 0.000306685
          19    0.251237    0.248769 0.000319726
          20    0.248328    0.248747 0.000304501
