#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.527426   -0.527426           0
           2   -0.528151   -0.527789 0.000256255
           3   -0.528834   -0.528137 0.000331917
           4    -0.52875    -0.52829 0.000282032
           5   -0.528512   -0.528335 0.000229082
           6   -0.527523   -0.528199  0.00022735
           7   -0.528397   -0.528228 0.000196611
           8   -0.529011   -0.528326 0.000194909
           9   -0.528373   -0.528331 0.000173323
          10   -0.527983   -0.528296 0.000159439
          11   -0.529694   -0.528423 0.000188898
          12   -0.528463   -0.528426 0.000173186
          13   -0.528289   -0.528416 0.000160188
          14   -0.529094   -0.528464 0.000155889
          15   -0.528304   -0.528454 0.000145862
          16   -0.529634   -0.528527 0.000154268
          17   -0.528772   -0.528542 0.000145863
          18   -0.528557   -0.528543 0.000137762
          19   -0.527831   -0.528505 0.000135503
          20   -0.527935   -0.528477 0.000131691
