#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35431     1.35431           0
           2      1.3584     1.35635  0.00144617
           3     1.36357     1.35876   0.0021893
           4     1.36136     1.35941    0.001736
           5     1.35923     1.35937  0.00138919
           6     1.36003     1.35948   0.0011619
           7     1.35263      1.3585  0.00134631
           8     1.33889     1.35605  0.00257833
           9     1.38343     1.35909   0.0036709
          10     1.36715      1.3599  0.00339114
          11     1.35758     1.35969  0.00308939
          12     1.35584     1.35937   0.0028485
          13     1.35737     1.35921  0.00263352
          14     1.35644     1.35902  0.00245287
          15     1.36649     1.35951  0.00233945
          16     1.35856     1.35946  0.00219399
          17     1.34583     1.35865  0.00220638
          18     1.36507     1.35901  0.00211237
          19     1.35764     1.35894  0.00200242
          20     1.35997     1.35899  0.00190296
