#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.196046    0.196046           0
           2    0.195689    0.195867 0.000126198
           3    0.196927    0.196221 0.000300523
           4    0.197212    0.196468 0.000311203
           5    0.196574    0.196489 0.000249679
           6    0.196198    0.196441 0.000212734
           7     0.19728    0.196561 0.000213437
           8    0.197436     0.19667 0.000212955
           9    0.195849    0.196579 0.000207915
          10    0.197194     0.19664 0.000196001
          11    0.196463    0.196624 0.000178847
          12     0.19661    0.196623 0.000163947
          13    0.194792    0.196482 0.000203024
          14    0.197833    0.196579 0.000210195
          15    0.198586    0.196712 0.000234957
          16    0.196073    0.196673 0.000223641
          17    0.195575    0.196608  0.00021961
          18    0.196719    0.196614 0.000207497
          19    0.196491    0.196608 0.000196677
          20    0.197787    0.196667 0.000195483
