#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461114   -0.461114           0
           2   -0.461162   -0.461138 1.66877e-05
           3   -0.462304   -0.461527  0.00031754
           4   -0.463087   -0.461917 0.000413365
           5   -0.461385    -0.46181 0.000344113
           6   -0.462309   -0.461893 0.000296618
           7    -0.46219   -0.461936 0.000257243
           8   -0.461216   -0.461846 0.000240307
           9   -0.461993   -0.461862  0.00021416
          10   -0.461705   -0.461846 0.000193321
          11    -0.46222    -0.46188 0.000178705
          12   -0.462757   -0.461953 0.000178114
          13   -0.462287   -0.461979 0.000166253
          14   -0.462702   -0.462031 0.000162208
          15   -0.461981   -0.462027 0.000151428
          16   -0.462273   -0.462043 0.000142738
          17   -0.462109   -0.462047 0.000134395
          18   -0.462655    -0.46208 0.000131112
          19   -0.463128   -0.462136 0.000135308
          20   -0.461282   -0.462093   0.0001351
