#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.554158   -0.554158           0
           2   -0.554821   -0.554489 0.000234477
           3    -0.55454   -0.554506 0.000156928
           4   -0.554243    -0.55444  0.00013074
           5   -0.554254   -0.554403 0.000109757
           6   -0.555658   -0.554612 0.000211636
           7   -0.554457    -0.55459 0.000182564
           8   -0.554755   -0.554611 0.000160906
           9   -0.554731   -0.554624 0.000143584
          10   -0.556526   -0.554814 0.000221965
          11    -0.55459   -0.554794 0.000202717
          12    -0.55466   -0.554783 0.000186131
          13   -0.553575    -0.55469 0.000193611
          14   -0.556186   -0.554797 0.000207198
          15   -0.555007   -0.554811 0.000193859
          16   -0.554597   -0.554797 0.000182204
          17      -0.555   -0.554809 0.000171875
          18   -0.554628   -0.554799 0.000162622
          19   -0.554328   -0.554774 0.000155943
          20   -0.554033   -0.554737 0.000152491
