#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.271133    0.271133           0
           2    0.269349    0.270241 0.000630999
           3    0.272393    0.270958 0.000721066
           4    0.271853    0.271182  0.00057443
           5     0.27035    0.271016 0.000483023
           6    0.268869    0.270658 0.000518322
           7    0.269585    0.270505 0.000466389
           8    0.270938    0.270559 0.000411222
           9    0.272548     0.27078 0.000420752
          10    0.272542    0.270956 0.000413936
          11    0.268106    0.270697 0.000450144
          12    0.270961    0.270719 0.000413168
          13    0.270981    0.270739 0.000381879
          14    0.271601    0.270801 0.000359531
          15    0.268286    0.270633  0.00037261
          16    0.271957    0.270716 0.000358399
          17    0.271487    0.270761 0.000340174
          18    0.267519    0.270581 0.000365867
          19    0.268777    0.270486 0.000358723
          20    0.270465    0.270485 0.000340789
