#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.17347     2.17347           0
           2      2.1817     2.17758  0.00290974
           3     2.19344     2.18287  0.00473115
           4     2.18389     2.18312  0.00355529
           5     2.18416     2.18333  0.00285022
           6     2.20317     2.18664  0.00384169
           7     2.19805     2.18827  0.00362257
           8     2.20058     2.18981  0.00348123
           9     2.17374     2.18802  0.00352246
          10     2.20551     2.18977  0.00357813
          11     2.17826     2.18872  0.00340236
          12     2.19947     2.18962  0.00323456
          13     2.15781     2.18717  0.00380031
          14     2.20773     2.18864   0.0038021
          15     2.16978     2.18738  0.00375079
          16     2.21109     2.18887  0.00379778
          17     2.18581     2.18869  0.00357864
          18      2.1738     2.18786  0.00347407
          19      2.1785     2.18737  0.00332592
          20     2.15813      2.1859  0.00346603
