#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.8753     24.8753           0
           2     24.6984     24.7868   0.0625406
           3     24.6166     24.7301   0.0623195
           4     24.5457      24.684   0.0614723
           5     25.0313     24.7534   0.0792457
           6     24.7377     24.7508   0.0660813
           7     23.4476     24.5647    0.181436
           8     23.9644     24.4896    0.173578
           9     25.9739     24.6545    0.219049
          10     24.8704     24.6761    0.198205
          11     24.1773     24.6308    0.185302
          12     25.2088     24.6789    0.176009
          13     24.6871     24.6796    0.162471
          14     24.6573      24.678    0.150873
          15     25.4177     24.7273    0.148657
          16      24.767     24.7298    0.139387
          17     23.9747     24.6854    0.138082
          18     24.2854     24.6631    0.132187
          19     23.5704     24.6056    0.137172
          20     24.5506     24.6029    0.130341
