#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892733   -0.892733           0
           2   -0.891408    -0.89207 0.000468388
           3   -0.892595   -0.892245 0.000343375
           4   -0.891333   -0.892017 0.000324586
           5     -0.8928   -0.892174  0.00029502
           6   -0.891799   -0.892111 0.000252368
           7   -0.890355    -0.89186 0.000317396
           8   -0.891549   -0.891822 0.000280102
           9   -0.894794   -0.892152 0.000398657
          10   -0.892158   -0.892152 0.000358792
          11   -0.890751   -0.892025 0.000348053
          12   -0.893071   -0.892112 0.000329787
          13   -0.891943   -0.892099 0.000304675
          14   -0.891938   -0.892088 0.000283131
          15   -0.892562   -0.892119 0.000266013
          16   -0.892382   -0.892136 0.000249892
          17   -0.890605   -0.892046 0.000250893
          18   -0.891768    -0.89203 0.000237428
          19   -0.890739   -0.891962 0.000234453
          20   -0.893101   -0.892019 0.000229538
