#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.426689    0.426689           0
           2    0.436562    0.431626  0.00349043
           3    0.427594    0.430282  0.00257273
           4    0.432282    0.430782  0.00197758
           5    0.434887    0.431603  0.00174416
           6    0.436341    0.432392   0.0016224
           7    0.429365     0.43196  0.00144713
           8    0.431164     0.43186  0.00126965
           9    0.438233    0.432569  0.00131124
          10    0.429376    0.432249  0.00121836
          11    0.435826    0.432574  0.00115018
          12    0.431036    0.432446  0.00106146
          13    0.436802    0.432781  0.00103133
          14    0.436763    0.433066 0.000996103
          15    0.441198    0.433608  0.00106709
          16    0.428687      0.4333  0.00104379
          17    0.429184    0.433058  0.00101008
          18    0.437278    0.433293 0.000980793
          19    0.421864    0.432691  0.00109823
          20    0.435032    0.432808  0.00104954
