#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.848949   -0.848949           0
           2   -0.847422   -0.848185 0.000539947
           3   -0.848217   -0.848196 0.000360067
           4   -0.848162   -0.848187 0.000270152
           5   -0.848556   -0.848261 0.000225966
           6   -0.848066   -0.848228 0.000190637
           7   -0.848439   -0.848259 0.000165764
           8   -0.850072   -0.848485 0.000256906
           9   -0.849227   -0.848568 0.000241227
          10   -0.849617   -0.848673 0.000238833
          11   -0.846528   -0.848478 0.000285824
          12    -0.84915   -0.848534 0.000267435
          13   -0.849551   -0.848612 0.000258064
          14   -0.847074   -0.848502  0.00026198
          15   -0.848969   -0.848533 0.000246356
          16   -0.848318    -0.84852 0.000231324
          17    -0.84675   -0.848416 0.000239991
          18   -0.847862   -0.848385 0.000228623
          19    -0.84811    -0.84837 0.000217046
          20   -0.847976   -0.848351 0.000207088
