#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.433334    0.433334           0
           2    0.440762    0.437048  0.00262626
           3      0.4442    0.439432  0.00261821
           4    0.451496    0.442448  0.00326774
           5    0.438696    0.441698  0.00269898
           6    0.431568    0.440009  0.00272654
           7    0.436261    0.439474  0.00238904
           8    0.435185    0.438938  0.00214973
           9    0.435568    0.438563  0.00194319
          10     0.44367    0.439074  0.00181473
          11    0.439501    0.439113  0.00165017
          12    0.431495    0.438478   0.0016302
          13    0.444488     0.43894  0.00156899
          14    0.438031    0.438875  0.00145826
          15    0.446141     0.43936  0.00143924
          16    0.443014    0.439588  0.00136729
          17     0.43467    0.439299  0.00131711
          18    0.443517    0.439533  0.00126461
          19    0.443231    0.439728  0.00121293
          20     0.43886    0.439684  0.00115306
