#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.3384     15.3384           0
           2     15.1072     15.2228    0.081732
           3     15.5771     15.3409    0.110756
           4     15.7122     15.4337    0.115599
           5      15.034     15.3538    0.116897
           6     14.9368     15.2843    0.116248
           7      15.283     15.2841   0.0996415
           8     15.0006     15.2486   0.0932748
           9     15.1905     15.2422   0.0831343
          10     15.6199       15.28   0.0829601
          11     14.8418     15.2401   0.0844418
          12     15.4644     15.2588    0.079447
          13     15.7092     15.2935   0.0805368
          14     14.9475     15.2687    0.078485
          15     15.4162     15.2786   0.0738654
          16     15.3455     15.2828   0.0693671
          17     14.3064     15.2253   0.0858314
          18     15.2088     15.2244   0.0810679
          19     15.4797     15.2378   0.0779068
          20     15.3273     15.2423   0.0741398
