#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462478   -0.462478           0
           2   -0.461334   -0.461906 0.000404182
           3   -0.462183   -0.461998 0.000279817
           4   -0.462638   -0.462158 0.000251385
           5   -0.462235   -0.462174 0.000201579
           6   -0.461784   -0.462109 0.000178134
           7   -0.461494   -0.462021 0.000172955
           8   -0.462093    -0.46203 0.000151569
           9   -0.461981   -0.462024 0.000134826
          10    -0.46228    -0.46205 0.000123742
          11     -0.4617   -0.462018 0.000116512
          12   -0.462138   -0.462028 0.000107227
          13   -0.461679   -0.462001 0.000102283
          14   -0.462267    -0.46202 9.67241e-05
          15   -0.462824   -0.462074 0.000104064
          16   -0.462571   -0.462105 0.000102096
          17   -0.461697   -0.462081 9.88734e-05
          18   -0.462338   -0.462095 9.44094e-05
          19   -0.461258   -0.462051 9.92014e-05
          20   -0.461573   -0.462027 9.70819e-05
