#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.196951    0.196951           0
           2    0.196619    0.196785 0.000117212
           3     0.19795    0.197174 0.000326643
           4    0.197192    0.197178 0.000245014
           5    0.198167    0.197376  0.00026405
           6    0.195963     0.19714 0.000307661
           7    0.196122    0.196995 0.000296086
           8    0.196336    0.196913 0.000270301
           9    0.197097    0.196933  0.00024104
          10    0.195126    0.196752  0.00027648
          11    0.195545    0.196643 0.000272258
          12    0.196308    0.196615 0.000250996
          13    0.197368    0.196673 0.000238276
          14    0.196292    0.196645 0.000222804
          15    0.196917    0.196663 0.000208686
          16    0.197232    0.196699 0.000198642
          17     0.19778    0.196763 0.000196879
          18    0.197416    0.196799 0.000189259
          19    0.196014    0.196758 0.000183753
          20    0.196392    0.196739 0.000175471
