#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.3708      1.3708           0
           2     1.34442     1.35761  0.00932787
           3     1.34502     1.35341  0.00710036
           4     1.36371     1.35599  0.00577327
           5     1.36935     1.35866  0.00520081
           6     1.34938     1.35711  0.00455797
           7     1.35051     1.35617  0.00400332
           8     1.34236     1.35444  0.00385743
           9     1.35069     1.35403  0.00345131
          10     1.36575      1.3552  0.00329934
          11     1.33848     1.35368  0.00333101
          12      1.3466     1.35309  0.00310518
          13     1.35365     1.35313  0.00286662
          14     1.36164     1.35374  0.00272544
          15     1.36451     1.35446  0.00263657
          16     1.35675      1.3546  0.00247566
          17     1.38263     1.35625  0.00282613
          18     1.35953     1.35643    0.002675
          19     1.36712     1.35699  0.00259273
          20     1.35554     1.35692  0.00246411
