#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.434821    0.434821           0
           2    0.432161    0.433491 0.000940426
           3    0.430393    0.432458  0.00105075
           4    0.432133    0.432377 0.000791196
           5    0.433088    0.432519 0.000645612
           6    0.438987    0.433597  0.00112156
           7    0.436592    0.434025  0.00103975
           8    0.436153    0.434291 0.000943191
           9    0.441763    0.435121  0.00114696
          10    0.438814    0.435491  0.00109009
          11     0.44579    0.436427  0.00133383
          12    0.435325    0.436335  0.00122583
          13    0.434207    0.436171  0.00114241
          14     0.44144    0.436548  0.00112108
          15     0.43772    0.436626  0.00104906
          16    0.444857     0.43714  0.00110244
          17    0.434064    0.436959  0.00105234
          18    0.435742    0.436892 0.000996053
          19    0.431191    0.436592  0.00098778
          20    0.430011    0.436263 0.000991687
