#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     9.86488     9.86488           0
           2     9.89996     9.88242   0.0124023
           3     9.98373     9.91619   0.0287866
           4     10.2085     9.98926   0.0668649
           5     10.1107     10.0135   0.0577327
           6     10.4143     10.0803   0.0776695
           7     10.1739     10.0937   0.0677142
           8     10.2024     10.1073   0.0605966
           9     10.5463     10.1561   0.0708264
          10     10.2701     10.1675   0.0646555
          11     10.4514     10.1933   0.0637232
          12     10.2476     10.1978   0.0585734
          13     10.0687     10.1879   0.0549038
          14     10.2386     10.1915   0.0511015
          15     10.1241      10.187   0.0478919
          16     10.3733     10.1986   0.0462923
          17     10.2959     10.2044   0.0439212
          18     9.90902      10.188   0.0444404
          19     10.1459     10.1857   0.0421565
          20     10.2901      10.191   0.0403702
