#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.69947     1.69947           0
           2     1.68865     1.69406  0.00382576
           3     1.69756     1.69523  0.00272265
           4     1.68535     1.69276  0.00295664
           5      1.6663     1.68747  0.00529209
           6     1.69832     1.68928  0.00470888
           7     1.66695     1.68609    0.005001
           8     1.68733     1.68624   0.0043783
           9     1.68537     1.68615  0.00389289
          10     1.68312     1.68584  0.00351537
          11     1.68242     1.68553  0.00320957
          12     1.69945     1.68669  0.00314459
          13     1.71182     1.68862  0.00344593
          14     1.68554      1.6884  0.00320684
          15     1.69339     1.68874  0.00301026
          16     1.68423     1.68845  0.00283526
          17     1.70658     1.68952  0.00286194
          18     1.67683     1.68881  0.00278848
          19     1.67213     1.68794   0.0027765
          20     1.69952     1.68852  0.00269741
