#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.230078    0.230078           0
           2    0.231354    0.230716 0.000451071
           3    0.230716    0.230716 0.000300714
           4    0.231658    0.230951 0.000304111
           5     0.22865    0.230491 0.000478237
           6    0.229055    0.230252 0.000454505
           7    0.230707    0.230317 0.000394212
           8    0.232273    0.230561  0.00041388
           9    0.229512    0.230445 0.000383973
          10    0.230307    0.230431 0.000345822
          11    0.230606    0.230447 0.000314751
          12    0.230448    0.230447 0.000288522
          13    0.230497    0.230451 0.000266354
          14    0.229957    0.230415 0.000249655
          15    0.232536    0.230557 0.000270073
          16    0.230463    0.230551 0.000253256
          17    0.228622    0.230437 0.000262561
          18    0.229113    0.230364 0.000258071
          19    0.227408    0.230208 0.000287577
          20    0.230446     0.23022 0.000273443
