#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.98774      2.0782   0.0146731
         170     2.00842     2.07779   0.0145925
         171     1.99263     2.07729   0.0145157
         172     2.00262     2.07686   0.0144378
         173     1.99113     2.07636   0.0143628
         174     1.98778     2.07585   0.0142893
         175     1.99063     2.07536   0.0142159
         176      2.0097     2.07499     0.01414
         177     2.02802     2.07473   0.0140626
         178     2.02063     2.07442   0.0139869
         179     1.99328     2.07397   0.0139161
         180      1.9868     2.07348   0.0138472
         181     2.01105     2.07314    0.013775
         182     2.02544     2.07288   0.0137018
         183     2.05091     2.07276   0.0136275
         184     2.07608     2.07277   0.0135534
         185     2.05753     2.07269   0.0134804
         186     2.05749     2.07261   0.0134082
         187     2.06988      2.0726   0.0133365
         188     2.07734     2.07262   0.0132656
         189     2.06921      2.0726   0.0131954
         190     2.05787     2.07253   0.0131262
         191     2.01637     2.07223   0.0130608
         192     1.99176     2.07181   0.0129995
         193     1.98798     2.07138   0.0129394
         194     2.00078     2.07101   0.0128778
         195      1.9749     2.07052   0.0128212
         196     1.93821     2.06985   0.0127735
         197        1.94     2.06919   0.0127257
         198     1.97083     2.06869   0.0126711
         199     1.98854     2.06829   0.0126138
         200     1.97617     2.06783   0.0125591
         201      1.9948     2.06746   0.0125019
         202     2.02022     2.06723   0.0124422
         203     2.03708     2.06708   0.0123818
         204     2.00662     2.06679   0.0123247
         205     2.01794     2.06655   0.0122668
         206     2.00379     2.06624   0.0122111
         207     2.00554     2.06595   0.0121556
         208     2.02729     2.06576   0.0120986
         209     2.04909     2.06568    0.012041
         210     2.06411     2.06568   0.0119836
         211     2.04008     2.06555   0.0119274
         212     2.00372     2.06526   0.0118748
         213     1.97379     2.06483   0.0118268
         214     1.96225     2.06435   0.0117812
         215     1.95559     2.06385   0.0117373
         216     1.97303     2.06343   0.0116905
         217      2.0018     2.06314     0.01164
         218     1.98847      2.0628   0.0115917
         219     1.97457      2.0624   0.0115457
         220       1.984     2.06204   0.0114988
         221     1.99712     2.06175   0.0114505
         222     1.97355     2.06135   0.0114058
         223      1.9712     2.06095   0.0113618
         224     2.00824     2.06071   0.0113135
         225     2.04612     2.06065   0.0112634
         226     2.00793     2.06041    0.011216
         227     1.95637     2.05995    0.011176
         228     1.96561     2.05954   0.0111346
         229     1.96669     2.05914   0.0110934
         230     1.97251     2.05876   0.0110515
         231     1.97343     2.05839   0.0110098
         232     1.96357     2.05798     0.01097
         233      1.9608     2.05756   0.0109308
         234     1.97845     2.05723   0.0108893
         235     2.00266     2.05699   0.0108455
         236     2.01838     2.05683   0.0108007
         237      2.0547     2.05682   0.0107552
         238     2.06162     2.05684     0.01071
         239      2.0676     2.05689   0.0106653
