#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         162     1.59729     1.59632 7.19347e-05
         163     1.59574     1.59632 7.15827e-05
         164      1.5965     1.59632 7.11545e-05
         165     1.59632     1.59632 7.07233e-05
         166     1.59675     1.59632 7.03439e-05
         167     1.59696     1.59633 7.00247e-05
         168     1.59629     1.59633 6.96082e-05
         169     1.59635     1.59633 6.91965e-05
         170     1.59682     1.59633 6.88493e-05
         171     1.59641     1.59633 6.84484e-05
         172     1.59699     1.59633 6.81568e-05
         173     1.59671     1.59634 6.77973e-05
         174     1.59615     1.59633 6.74157e-05
         175     1.59697     1.59634 6.71283e-05
         176     1.59631     1.59634 6.67472e-05
         177     1.59619     1.59634 6.63755e-05
         178     1.59704     1.59634 6.61191e-05
         179     1.59684     1.59634  6.5808e-05
         180      1.5965     1.59634 6.54483e-05
         181     1.59644     1.59634 6.50888e-05
         182     1.59607     1.59634 6.47484e-05
         183     1.59658     1.59634 6.44072e-05
         184      1.5968     1.59635 6.41038e-05
         185     1.59679     1.59635 6.38015e-05
         186     1.59582     1.59635 6.35221e-05
         187     1.59634     1.59635 6.31824e-05
         188     1.59674     1.59635 6.28806e-05
         189     1.59666     1.59635 6.25689e-05
         190     1.59693     1.59635  6.2313e-05
         191     1.59757     1.59636  6.2311e-05
         192     1.59607     1.59636 6.20044e-05
         193     1.59653     1.59636 6.16898e-05
         194     1.59717     1.59636 6.15125e-05
         195     1.59642     1.59636 6.11977e-05
         196     1.59674     1.59637  6.0916e-05
         197     1.59657     1.59637 6.06155e-05
         198     1.59641     1.59637 6.03098e-05
         199     1.59653     1.59637 6.00121e-05
         200     1.59675     1.59637 5.97428e-05
         201     1.59612     1.59637 5.94585e-05
         202     1.59661     1.59637 5.91765e-05
         203      1.5969     1.59637 5.89425e-05
         204     1.59632     1.59637 5.86541e-05
         205     1.59656     1.59637 5.83753e-05
         206     1.59663     1.59637  5.8105e-05
         207     1.59638     1.59637 5.78243e-05
         208      1.5963     1.59637 5.75473e-05
         209     1.59675     1.59638 5.72998e-05
         210     1.59638     1.59638  5.7027e-05
         211     1.59688     1.59638 5.68072e-05
         212     1.59683     1.59638 5.65797e-05
         213     1.59672     1.59638 5.63372e-05
         214     1.59695     1.59638 5.61355e-05
         215     1.59622     1.59638 5.58793e-05
         216     1.59639     1.59638 5.56206e-05
         217     1.59653     1.59638 5.53685e-05
         218     1.59692     1.59639 5.51681e-05
         219     1.59636     1.59639 5.49163e-05
         220     1.59687     1.59639 5.47107e-05
         221     1.59662     1.59639 5.44731e-05
         222     1.59667     1.59639 5.42428e-05
         223     1.59625     1.59639 5.40034e-05
         224     1.59608     1.59639 5.37804e-05
         225     1.59645     1.59639  5.3542e-05
         226     1.59731     1.59639 5.34606e-05
         227     1.59609     1.59639 5.32418e-05
         228     1.59599     1.59639 5.30382e-05
         229     1.59681     1.59639 5.28386e-05
         230     1.59565     1.59639 5.27083e-05
         231       1.597     1.59639 5.25467e-05
         232     1.59572     1.59639 5.24003e-05
         233     1.59641     1.59639 5.21755e-05
         234     1.59596     1.59639 5.19843e-05
         235     1.59655     1.59639 5.17679e-05
         236     1.59562     1.59638   5.165e-05
         237     1.59637     1.59638 5.14321e-05
         238     1.59629     1.59638 5.12176e-05
         239     1.59698     1.59639 5.10635e-05
         240      1.5961     1.59639 5.08643e-05
         241     1.59599     1.59638 5.06803e-05
         242     1.59708     1.59639  5.0552e-05
         243     1.59632     1.59639 5.03448e-05
         244     1.59594     1.59638 5.01715e-05
         245     1.59625     1.59638 4.99695e-05
         246     1.59612     1.59638 4.97783e-05
         247     1.59641     1.59638  4.9577e-05
         248     1.59659     1.59638  4.9384e-05
         249     1.59702     1.59639 4.92524e-05
         250     1.59648     1.59639 4.90568e-05
         251     1.59661     1.59639 4.88692e-05
         252     1.59662     1.59639 4.86837e-05
         253       1.597     1.59639 4.85517e-05
         254     1.59634     1.59639  4.8361e-05
         255     1.59601     1.59639 4.81948e-05
         256     1.59658     1.59639 4.80123e-05
         257     1.59601     1.59639 4.78477e-05
         258     1.59643     1.59639 4.76625e-05
         259     1.59613     1.59639 4.74886e-05
         260     1.59668     1.59639 4.73193e-05
         261     1.59581     1.59639 4.71898e-05
         262     1.59672     1.59639 4.70264e-05
         263     1.59604     1.59639 4.68661e-05
         264     1.59603     1.59639 4.67078e-05
         265     1.59702     1.59639 4.65935e-05
         266     1.59687     1.59639 4.64543e-05
         267     1.59643     1.59639 4.62806e-05
         268     1.59661     1.59639 4.61152e-05
         269     1.59714     1.59639 4.60288e-05
         270      1.5958     1.59639 4.59111e-05
         271     1.59592     1.59639 4.57747e-05
         272     1.59608     1.59639 4.56204e-05
         273     1.59692     1.59639 4.54944e-05
         274     1.59657     1.59639 4.53334e-05
         275     1.59751     1.59639 4.53493e-05
         276     1.59747      1.5964 4.53535e-05
         277      1.5965      1.5964 4.51914e-05
         278     1.59639      1.5964 4.50288e-05
         279     1.59629      1.5964 4.48691e-05
         280     1.59671      1.5964 4.47226e-05
         281     1.59677      1.5964 4.45824e-05
         282     1.59693      1.5964 4.44632e-05
         283     1.59733     1.59641 4.44256e-05
         284     1.59642     1.59641 4.42692e-05
         285     1.59669     1.59641 4.41251e-05
         286     1.59661     1.59641 4.39765e-05
         287      1.5966     1.59641 4.38283e-05
         288     1.59645     1.59641 4.36764e-05
         289     1.59687     1.59641  4.3555e-05
         290     1.59671     1.59641  4.3417e-05
         291      1.5968     1.59641 4.32879e-05
         292     1.59701     1.59641 4.31887e-05
         293     1.59677     1.59642 4.30581e-05
         294     1.59649     1.59642 4.29123e-05
