# VELOCITY:    AVE_POFV:        ERROR:
           1           0        0.01           0
           1    0.266667        0.04           0
           1    0.533333        0.02           0
           1         0.8        0.08           0
           1     1.06667        0.56           0
           1     1.33333        1.45           0
           1         1.6        2.68           0
           1     1.86667        8.06           0
           1     2.13333       27.34           0
           1         2.4       47.87           0
           1     2.66667       17.48           0
           1     2.93333        2.14           0
           1         3.2        0.27           0
           1     3.46667           0           0
           1     3.73333           0           0
           1           4           0           0
           1     4.26667           0           0
           1     4.53333           0           0
           1         4.8           0           0
           1     5.06667           0           0
           1     5.33333           0           0
           1         5.6           0           0
           1     5.86667           0           0
           1     6.13333           0           0
           1         6.4           0           0
           1     6.66667           0           0
           1     6.93333           0           0
           1         7.2           0           0
           1     7.46667           0           0
           1     7.73333           0           0
           2           0       0.005  0.00353553
           2    0.266667         0.6     0.39598
           2    0.533333       1.035    0.717713
           2         0.8        0.65    0.403051
           2     1.06667           1    0.311127
           2     1.33333         2.3    0.601041
           2         1.6         6.7     2.84257
           2     1.86667       10.11     1.44957
           2     2.13333      21.445     4.16839
           2         2.4      32.725     10.7091
           2     2.66667        18.2    0.509117
           2     2.93333       7.415     3.72999
           2         3.2       3.625     2.37234
           2     3.46667        1.43     1.01116
           2     3.73333        0.67    0.473762
           2           4       0.035   0.0247487
           2     4.26667        0.03   0.0212132
           2     4.53333       0.025   0.0176777
           2         4.8           0           0
           2     5.06667           0           0
           2     5.33333           0           0
           2         5.6           0           0
           2     5.86667           0           0
           2     6.13333           0           0
           2         6.4           0           0
           2     6.66667           0           0
           2     6.93333           0           0
           2         7.2           0           0
           2     7.46667           0           0
           2     7.73333           0           0
           3           0  0.00333333  0.00272166
           3    0.266667        0.46    0.287673
           3    0.533333     1.08333      0.4801
           3         0.8     1.08667    0.446451
           3     1.06667        2.55     1.28245
           3     1.33333     4.49667     1.83778
           3         1.6     9.27333     2.82947
           3     1.86667       11.72     1.63155
           3     2.13333     17.8567     4.03814
           3         2.4     24.8733     9.59533
           3     2.66667     17.0233     1.01894
           3     2.93333     7.94667     2.52427
           3         3.2         5.3     2.09087
           3     3.46667        2.26    0.955871
           3     3.73333     1.36333    0.648251
           3           4        0.38    0.282174
           3     4.26667    0.233333    0.166622
           3     4.53333   0.0566667   0.0284149
           3         4.8   0.0333333   0.0272166
           3     5.06667           0           0
           3     5.33333           0           0
           3         5.6           0           0
           3     5.86667           0           0
           3     6.13333           0           0
           3         6.4           0           0
           3     6.66667           0           0
           3     6.93333           0           0
           3         7.2           0           0
           3     7.46667           0           0
           3     7.73333           0           0
           4           0       0.045   0.0361421
