#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0265068   0.0265068           0
           2   0.0287492    0.027628 0.000792808
           3    0.025028   0.0267613 0.000883229
           4   0.0272532   0.0268843 0.000670927
           5   0.0246768   0.0264428 0.000666355
           6   0.0282304   0.0267407 0.000618324
           7   0.0268484   0.0267561 0.000530183
           8   0.0298996    0.027149 0.000591871
           9   0.0300816   0.0274749 0.000609232
          10       0.027   0.0274274 0.000550156
          11   0.0246684   0.0271766 0.000554376
          12    0.027124   0.0271722 0.000508195
          13   0.0268556   0.0271478 0.000469687
          14   0.0280256   0.0272105 0.000440302
          15   0.0271008   0.0272032  0.00041101
          16   0.0279536   0.0272501 0.000387988
          17   0.0296584   0.0273918 0.000390171
          18   0.0283092   0.0274428 0.000371809
          19    0.025906   0.0273619  0.00036093
          20   0.0260292   0.0272952  0.00034898
