#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.268379    0.268379           0
           2    0.268899    0.268639 0.000183924
           3    0.269928    0.269069 0.000371429
           4    0.269154     0.26909 0.000279186
           5    0.270819    0.269436 0.000381556
           6    0.269689    0.269478 0.000320292
           7    0.268262    0.269304 0.000318216
           8    0.271963    0.269637 0.000417359
           9    0.272091    0.269909 0.000451335
          10    0.273609    0.270279 0.000536811
          11    0.271106    0.270355 0.000493241
          12     0.27106    0.270413  0.00045563
          13    0.267261    0.270171 0.000480787
          14    0.270536    0.270197 0.000447151
          15    0.270808    0.270238  0.00041919
          16    0.271639    0.270325 0.000402036
          17      0.2701    0.270312 0.000378605
          18    0.269902    0.270289 0.000358256
          19     0.26818    0.270178 0.000356182
          20    0.272885    0.270314 0.000363177
