#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.555078   -0.555078           0
           2   -0.555105   -0.555091 9.61665e-06
           3   -0.554287   -0.554823 0.000218915
           4   -0.553946   -0.554604 0.000250985
           5   -0.554141   -0.554511 0.000217213
           6   -0.553905    -0.55441 0.000203179
           7   -0.555317    -0.55454 0.000211435
           8   -0.554136   -0.554489 0.000190935
           9   -0.553994   -0.554434 0.000177462
          10   -0.554785   -0.554469  0.00016314
          11   -0.554191   -0.554444 0.000150256
          12   -0.553026   -0.554326 0.000178226
          13   -0.554338   -0.554327 0.000164519
          14    -0.55477   -0.554359 0.000155789
          15   -0.554954   -0.554398 0.000150369
          16   -0.554117   -0.554381 0.000141996
          17   -0.555057    -0.55442 0.000139103
          18   -0.555601   -0.554486 0.000146017
          19   -0.554767   -0.554501  0.00013908
          20   -0.555377   -0.554545 0.000138853
