#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.20178     2.20178           0
           2     2.16749     2.18463   0.0121216
           3      2.1511     2.17346   0.0121894
           4     2.19109     2.17787  0.00990713
           5     2.18859     2.18001  0.00815459
           6     2.14946     2.17492  0.00823329
           7     2.18732     2.17669  0.00724529
           8     2.21922     2.18201  0.00805731
           9     2.17161     2.18085  0.00724436
          10     2.20923     2.18369  0.00705402
          11     2.17507     2.18291  0.00645617
          12     2.20096     2.18441  0.00609092
          13     2.18998     2.18484  0.00563745
          14     2.20102     2.18599  0.00535198
          15     2.18528     2.18595  0.00499539
          16     2.14852     2.18361  0.00520219
          17     2.18272     2.18356  0.00489644
          18     2.19829     2.18437  0.00469235
          19     2.16761     2.18349  0.00452756
          20     2.19939     2.18429  0.00437041
