#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.455458    0.455458           0
           2    0.419893    0.437676   0.0125741
           3    0.460668     0.44534   0.0104608
           4       0.488    0.456005   0.0121186
           5     0.47095    0.458994   0.0100568
           6    0.432392     0.45456  0.00930677
           7    0.475145    0.457501  0.00842904
           8    0.469092     0.45895  0.00749889
           9    0.468358    0.459995  0.00673816
          10     0.41763    0.455759  0.00727524
          11    0.444926    0.454774  0.00668018
          12    0.460158    0.455223  0.00613855
          13    0.444798    0.454421  0.00571849
          14    0.455659    0.454509  0.00531071
          15    0.434872      0.4532  0.00511547
          16     0.40854    0.450409  0.00550486
          17    0.487652    0.452599  0.00560004
          18    0.414398    0.450477  0.00567686
          19    0.460058    0.450981  0.00540043
          20     0.43883    0.450374  0.00516447
