#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.11039     0.11039           0
           2    0.116621    0.113506  0.00220306
           3    0.109296    0.112102  0.00186279
           4    0.103031    0.109834  0.00241025
           5    0.114691    0.110806  0.00211486
           6    0.113901    0.111322  0.00182423
           7    0.110148    0.111154  0.00157132
           8    0.107873    0.110744  0.00142743
           9    0.115533    0.111276   0.0013644
          10    0.110018     0.11115  0.00123374
          11     0.11334    0.111349  0.00113753
          12    0.119803    0.112054  0.00124186
          13    0.109253    0.111838  0.00116487
          14    0.111966    0.111847   0.0010817
          15    0.111807    0.111845  0.00100959
          16     0.10602    0.111481  0.00101001
          17    0.112817    0.111559 0.000953649
          18    0.114378    0.111716 0.000913439
          19    0.106564    0.111445 0.000904719
          20    0.114664    0.111606 0.000873689
