#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.375458    -0.38516  0.00234344
         153   -0.411448   -0.385332  0.00233441
         154   -0.410664   -0.385496  0.00232504
         155   -0.386652   -0.385504  0.00231006
         156   -0.359544   -0.385337  0.00230123
         157     -0.3788   -0.385296  0.00228695
         158   -0.406116   -0.385428  0.00227627
         159   -0.401684    -0.38553  0.00226425
         160   -0.352486   -0.385323   0.0022595
         161   -0.317827   -0.384904  0.00228402
         162   -0.320277   -0.384505   0.0023045
         163   -0.340979   -0.384238  0.00230578
         164   -0.364727   -0.384119  0.00229479
         165   -0.370253   -0.384035  0.00228242
         166    -0.36003   -0.383891  0.00227325
         167   -0.363795    -0.38377  0.00226282
         168   -0.379046   -0.383742  0.00224952
         169   -0.415316   -0.383929  0.00224396
         170   -0.411973   -0.384094  0.00223681
         171   -0.387385   -0.384113  0.00222382
         172   -0.382999   -0.384107   0.0022109
         173   -0.403579   -0.384219  0.00220098
         174   -0.397337   -0.384295  0.00218962
         175     -0.3888    -0.38432  0.00217726
         176   -0.397301   -0.384394  0.00216614
         177   -0.397125   -0.384466  0.00215509
         178   -0.370849    -0.38439  0.00214434
         179   -0.327682   -0.384073  0.00215564
         180   -0.305141   -0.383634  0.00218781
         181   -0.331193   -0.383344  0.00219482
         182   -0.356603   -0.383198  0.00218768
         183   -0.366461   -0.383106  0.00217763
         184   -0.384351   -0.383113  0.00216581
         185   -0.386172   -0.383129  0.00215416
         186   -0.358531   -0.382997  0.00214664
         187   -0.349033   -0.382816  0.00214283
         188   -0.359897   -0.382694   0.0021349
         189   -0.376042   -0.382658  0.00212389
         190    -0.36054   -0.382542   0.0021159
         191   -0.326767    -0.38225  0.00212488
         192   -0.324069   -0.381947  0.00213531
         193   -0.326907   -0.381662   0.0021432
         194    -0.31607   -0.381324  0.00215866
         195   -0.295753   -0.380885  0.00219174
         196   -0.288502   -0.380414  0.00223066
         197    -0.31116   -0.380062  0.00224687
         198   -0.359162   -0.379956    0.002238
         199   -0.406474    -0.38009  0.00223072
         200    -0.41249   -0.380252  0.00222544
         201   -0.409152   -0.380395  0.00221901
         202   -0.381334     -0.3804  0.00220803
         203   -0.346991   -0.380236  0.00220327
         204   -0.342096   -0.380049  0.00220039
         205   -0.397915   -0.380136  0.00219138
         206   -0.431918   -0.380387  0.00219512
         207    -0.41454   -0.380552   0.0021907
         208   -0.378888   -0.380544  0.00218019
         209   -0.374113   -0.380513  0.00216997
         210   -0.338452   -0.380313  0.00216886
         211    -0.33908   -0.380118  0.00216737
         212    -0.33178    -0.37989   0.0021691
         213   -0.304714   -0.379537  0.00218745
         214    -0.30453   -0.379186  0.00220513
         215   -0.302886   -0.378831  0.00222324
         216   -0.302989    -0.37848  0.00224051
         217   -0.340616   -0.378306  0.00223696
         218   -0.322808   -0.378051  0.00224114
         219   -0.333563   -0.377848   0.0022401
         220   -0.313222   -0.377554  0.00224909
         221   -0.349193   -0.377426  0.00224257
         222   -0.370822   -0.377396  0.00223267
         223   -0.394796   -0.377474  0.00222402
         224    -0.38012   -0.377486  0.00221412
         225   -0.427981    -0.37771  0.00221563
         226   -0.425535   -0.377922  0.00221591
         227   -0.409124   -0.378059   0.0022104
         228   -0.376984   -0.378055  0.00220071
         229   -0.379788   -0.378062  0.00219112
         230   -0.389881   -0.378114  0.00218219
         231   -0.377855   -0.378113  0.00217275
         232   -0.390645   -0.378167  0.00216405
         233   -0.413873    -0.37832  0.00216018
         234   -0.420425     -0.3785  0.00215843
         235   -0.426998   -0.378706  0.00215909
         236   -0.438594    -0.37896   0.0021648
         237   -0.453035   -0.379272  0.00217812
         238   -0.470832   -0.379657  0.00220268
         239   -0.432141   -0.379877  0.00220438
         240   -0.420049   -0.380044  0.00220154
         241   -0.394784   -0.380105  0.00219325
         242   -0.355988   -0.380006  0.00218645
         243   -0.360891   -0.379927  0.00217887
         244   -0.388872   -0.379964  0.00217025
         245   -0.389285   -0.380002  0.00216172
         246   -0.374837   -0.379981  0.00215304
         247    -0.33829   -0.379812  0.00215093
         248   -0.304298   -0.379507   0.0021637
         249   -0.308736   -0.379223   0.0021736
         250   -0.343841   -0.379082  0.00216951
         251      -0.351    -0.37897  0.00216375
         252   -0.341737   -0.378822   0.0021602
         253   -0.323144   -0.378602  0.00216284
         254   -0.346826   -0.378477  0.00215794
         255   -0.353151   -0.378378  0.00215176
         256   -0.364777   -0.378324  0.00214401
         257   -0.391368   -0.378375  0.00213627
         258   -0.423914   -0.378552  0.00213527
         259   -0.429773   -0.378749  0.00213617
         260   -0.391064   -0.378797  0.00212847
         261   -0.353106   -0.378698  0.00212259
         262   -0.320291   -0.378475  0.00212617
         263   -0.334747   -0.378309  0.00212457
         264   -0.347568   -0.378193  0.00211971
         265   -0.362031   -0.378132  0.00211259
         266   -0.389076   -0.378173  0.00210505
         267   -0.391904   -0.378224   0.0020978
         268   -0.387562   -0.378259  0.00209026
         269   -0.431021   -0.378455  0.00209167
         270   -0.451351   -0.378725  0.00210127
         271   -0.454625   -0.379005   0.0021121
         272   -0.436308   -0.379216  0.00211482
         273   -0.402532   -0.379301   0.0021088
         274   -0.407725   -0.379405  0.00210365
         275   -0.362237   -0.379343  0.00209693
         276   -0.375206   -0.379328  0.00208938
         277   -0.362245   -0.379266  0.00208275
         278   -0.339087   -0.379122  0.00208027
         279   -0.305035   -0.378856  0.00208969
         280   -0.297632   -0.378566  0.00210226
         281   -0.301807   -0.378293  0.00211246
         282   -0.324183   -0.378101  0.00211366
         283   -0.328925   -0.377927  0.00211332
         284   -0.345329   -0.377812    0.002109
         285   -0.344601   -0.377696  0.00210481
         286    -0.34418   -0.377579  0.00210071
         287   -0.352744   -0.377492  0.00209518
         288   -0.364256   -0.377446   0.0020884
         289   -0.384761   -0.377471  0.00208133
         290   -0.394296   -0.377529  0.00207496
         291   -0.366645   -0.377492  0.00206817
         292   -0.372181   -0.377474  0.00206117
         293   -0.371394   -0.377453  0.00205424
         294   -0.378879   -0.377458  0.00204725
         295   -0.358677   -0.377394   0.0020413
         296   -0.330602   -0.377236  0.00204052
         297   -0.342819    -0.37712  0.00203694
         298   -0.394199   -0.377178  0.00203091
         299   -0.386396   -0.377208  0.00202435
         300   -0.394684   -0.377267  0.00201844
         301     -0.3925   -0.377317  0.00201237
         302   -0.396366    -0.37738  0.00200669
         303   -0.367508   -0.377348  0.00200034
         304   -0.329084   -0.377189  0.00200005
         305   -0.357734   -0.377125  0.00199451
         306   -0.378518    -0.37713  0.00198799
         307   -0.369038   -0.377103  0.00198169
         308   -0.350266   -0.377016  0.00197717
         309   -0.357167   -0.376952  0.00197182
         310   -0.351701   -0.376871  0.00196714
         311   -0.386293   -0.376901  0.00196105
         312   -0.421452   -0.377044  0.00195995
         313    -0.46415   -0.377322  0.00197335
         314   -0.436079   -0.377509  0.00197592
         315   -0.400913   -0.377583  0.00197104
         316   -0.393868   -0.377635  0.00196548
         317   -0.381797   -0.377648  0.00195932
         318   -0.392819   -0.377696  0.00195374
         319   -0.385198   -0.377719  0.00194776
         320   -0.388384   -0.377753  0.00194195
         321   -0.390761   -0.377793  0.00193633
         322   -0.417829   -0.377918   0.0019343
         323    -0.41057   -0.378019  0.00193095
         324   -0.399567   -0.378085  0.00192614
         325   -0.415277     -0.3782  0.00192361
         326   -0.444479   -0.378403  0.00192842
         327   -0.465567   -0.378669  0.00194086
         328   -0.445133   -0.378872  0.00194549
         329   -0.391543   -0.378911  0.00193996
         330   -0.352491   -0.378831  0.00193573
         331   -0.355382    -0.37876  0.00193118
         332    -0.37057   -0.378735  0.00192552
         333   -0.389681   -0.378768  0.00192002
         334   -0.414335   -0.378874  0.00191722
         335   -0.400698    -0.37894   0.0019126
         336   -0.412071   -0.379038  0.00190945
         337   -0.439042   -0.379216  0.00191207
         338   -0.460464   -0.379457  0.00192146
         339   -0.457052   -0.379685  0.00192938
         340   -0.432862   -0.379842  0.00193004
         341   -0.385348   -0.379858  0.00192444
         342   -0.398023   -0.379911  0.00191955
         343   -0.380514   -0.379913  0.00191395
         344   -0.374153   -0.379896  0.00190846
         345   -0.395561   -0.379942  0.00190347
         346   -0.411811   -0.380034   0.0019002
         347   -0.414936   -0.380134  0.00189738
         348   -0.349444   -0.380046  0.00189398
         349   -0.326197   -0.379892  0.00189482
         350   -0.337665   -0.379771  0.00189325
         351   -0.321248   -0.379604  0.00189518
         352   -0.310443   -0.379408  0.00189996
         353   -0.323231   -0.379249  0.00190123
         354   -0.351965   -0.379172  0.00189742
         355   -0.393461   -0.379212   0.0018925
         356   -0.419972   -0.379326  0.00189064
         357   -0.406842   -0.379403  0.00188692
         358   -0.409442   -0.379487  0.00188351
         359   -0.429315   -0.379626  0.00188337
         360   -0.444922   -0.379808  0.00188685
         361   -0.455179   -0.380016  0.00189314
         362   -0.470273   -0.380266  0.00190426
         363   -0.464839   -0.380499  0.00191322
         364    -0.43507   -0.380649  0.00191382
         365   -0.421734   -0.380761  0.00191189
         366   -0.443284   -0.380932  0.00191428
         367     -0.4298   -0.381065  0.00191369
         368   -0.417368   -0.381164  0.00191103
         369   -0.418005   -0.381264  0.00190846
         370   -0.423952   -0.381379  0.00190678
         371    -0.43367    -0.38152  0.00190685
         372   -0.441197    -0.38168  0.00190846
         373   -0.443728   -0.381847  0.00191058
         374   -0.403371   -0.381904  0.00190633
         375   -0.359071   -0.381843  0.00190222
         376    -0.33636   -0.381722  0.00190101
         377   -0.375885   -0.381707  0.00189603
         378    -0.36085   -0.381652  0.00189181
         379   -0.331927   -0.381521  0.00189137
         380   -0.329059   -0.381382  0.00189142
         381   -0.354028   -0.381311  0.00188782
         382   -0.345449   -0.381217  0.00188521
         383    -0.30536   -0.381019  0.00189066
         384   -0.301994   -0.380813  0.00189691
         385    -0.34722   -0.380726  0.00189398
         386   -0.382786   -0.380731  0.00188909
         387   -0.398251   -0.380776  0.00188475
         388    -0.41638   -0.380868  0.00188212
         389   -0.425129   -0.380982  0.00188072
         390   -0.428003   -0.381102  0.00187976
         391   -0.447977   -0.381273  0.00188271
         392     -0.4546   -0.381461  0.00188718
         393   -0.469056   -0.381683   0.0018955
         394   -0.470945    -0.38191  0.00190418
         395   -0.424711   -0.382018  0.00190244
         396   -0.406435    -0.38208  0.00189863
         397   -0.399632   -0.382124  0.00189436
         398    -0.41762   -0.382213   0.0018917
         399   -0.425066   -0.382321  0.00189001
         400   -0.432104   -0.382445  0.00188938
         401   -0.447381   -0.382607  0.00189159
         402   -0.414544   -0.382687  0.00188855
         403   -0.415154   -0.382767  0.00188558
         404   -0.413263   -0.382843  0.00188243
         405   -0.429147   -0.382957  0.00188125
         406    -0.45556   -0.383136  0.00188509
         407   -0.422651   -0.383233  0.00188296
         408   -0.410251   -0.383299  0.00187951
         409   -0.427608   -0.383407  0.00187803
         410   -0.421268     -0.3835  0.00187572
         411   -0.412503    -0.38357  0.00187249
         412   -0.395198   -0.383599  0.00186815
         413   -0.371967    -0.38357  0.00186384
         414   -0.365266   -0.383526  0.00185986
         415    -0.35891   -0.383467  0.00185633
         416   -0.350947   -0.383389  0.00185351
         417   -0.360477   -0.383334  0.00184988
         418   -0.380473   -0.383327  0.00184547
         419    -0.43469    -0.38345  0.00184513
         420   -0.415055   -0.383525  0.00184227
         421   -0.323234   -0.383382  0.00184345
         422   -0.280573   -0.383138  0.00185511
         423   -0.294434   -0.382928  0.00186254
         424   -0.334557   -0.382814  0.00186164
         425   -0.340554   -0.382715  0.00185991
         426   -0.348785   -0.382635  0.00185725
         427   -0.336623   -0.382527  0.00185603
         428   -0.347198   -0.382445  0.00185352
         429   -0.304545   -0.382263  0.00185808
         430     -0.2959   -0.382062  0.00186458
         431   -0.335588   -0.381955  0.00186337
         432   -0.357215   -0.381897  0.00185993
         433   -0.344835   -0.381812  0.00185761
         434   -0.315149   -0.381658  0.00185967
         435   -0.323952   -0.381525  0.00186012
         436   -0.343714   -0.381439  0.00185787
         437   -0.358906   -0.381387  0.00185434
         438   -0.387272   -0.381401  0.00185015
         439   -0.413416   -0.381473  0.00184737
         440   -0.434241   -0.381593  0.00184706
         441   -0.476433   -0.381808  0.00185535
         442    -0.41956   -0.381894  0.00185312
         443   -0.382667   -0.381896  0.00184894
         444   -0.366443   -0.381861   0.0018451
         445   -0.378153   -0.381852  0.00184097
         446    -0.38755   -0.381865  0.00183689
         447   -0.373338   -0.381846  0.00183288
         448   -0.371145   -0.381822  0.00182894
         449   -0.361026   -0.381776  0.00182546
         450   -0.364115   -0.381737  0.00182182
         451   -0.376319   -0.381725  0.00181782
         452   -0.352521    -0.38166  0.00181495
         453   -0.361499   -0.381616  0.00181149
         454   -0.347187    -0.38154  0.00180908
         455   -0.342548   -0.381454  0.00180714
         456   -0.327526   -0.381336  0.00180704
         457   -0.331929   -0.381228  0.00180632
         458   -0.365648   -0.381194  0.00180269
         459   -0.401112   -0.381237  0.00179929
         460    -0.41718   -0.381315  0.00179707
         461   -0.386313   -0.381326  0.00179321
         462   -0.375349   -0.381313  0.00178937
         463   -0.359126   -0.381265  0.00178615
         464    -0.33234    -0.38116  0.00178541
         465   -0.308095   -0.381003  0.00178847
         466   -0.316278   -0.380864  0.00179002
         467   -0.331419   -0.380758  0.00178931
         468   -0.335501   -0.380661   0.0017881
         469   -0.320539   -0.380533  0.00178888
         470   -0.290948   -0.380342   0.0017952
         471   -0.280149    -0.38013  0.00180394
         472   -0.289257   -0.379937  0.00181037
         473   -0.307825   -0.379785  0.00181295
         474   -0.308851   -0.379635  0.00181529
         475   -0.316746   -0.379503  0.00181629
         476   -0.348112   -0.379437  0.00181367
         477   -0.365637   -0.379408   0.0018101
         478   -0.349376   -0.379345   0.0018074
