#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.35578     1.39442   0.0110491
         148     1.34384     1.39408   0.0109797
         149     1.32995     1.39365   0.0109145
         150     1.33948     1.39329   0.0108477
         151     1.32981     1.39287    0.010784
         152     1.31627     1.39237   0.0107248
         153     1.33092     1.39196   0.0106622
         154     1.32163     1.39151   0.0106028
         155     1.31398     1.39101   0.0105461
         156      1.3032     1.39044   0.0104935
         157     1.30347     1.38989   0.0104413
         158     1.30031     1.38932   0.0103906
         159     1.30877     1.38882   0.0103376
         160     1.31992     1.38839    0.010282
         161     1.32698       1.388   0.0102252
         162     1.32382     1.38761   0.0101697
         163     1.34087     1.38732   0.0101114
         164     1.34025     1.38703   0.0100538
         165     1.34413     1.38677  0.00999623
         166     1.35143     1.38656  0.00993828
         167     1.32783     1.38621  0.00988499
         168     1.32137     1.38582  0.00983368
         169     1.32516     1.38547  0.00978204
         170     1.33894     1.38519  0.00972833
         171     1.32842     1.38486   0.0096771
         172     1.33508     1.38457  0.00962517
         173     1.32742     1.38424   0.0095752
         174     1.32518      1.3839  0.00952618
         175     1.32709     1.38358  0.00947728
         176      1.3398     1.38333  0.00942669
         177     1.35201     1.38315  0.00937509
         178     1.34708     1.38295  0.00932461
         179     1.32885     1.38265  0.00927742
         180     1.32453     1.38232  0.00923149
         181      1.3407     1.38209  0.00918335
         182      1.3503     1.38192  0.00913456
         183     1.36728     1.38184  0.00908499
         184     1.38405     1.38185  0.00903562
         185     1.37168     1.38179  0.00898695
         186     1.37166     1.38174   0.0089388
         187     1.37992     1.38173    0.008891
         188     1.38489     1.38175  0.00884373
         189     1.37948     1.38174  0.00879694
         190     1.37191     1.38168  0.00875079
         191     1.34425     1.38149  0.00870717
         192     1.32784     1.38121  0.00866631
         193     1.32532     1.38092  0.00862624
         194     1.33385     1.38068  0.00858518
         195      1.3166     1.38035  0.00854744
         196     1.29214      1.3799  0.00851568
         197     1.29334     1.37946  0.00848378
         198     1.31389     1.37913  0.00844739
         199     1.32569     1.37886  0.00840921
         200     1.31745     1.37855  0.00837277
         201     1.32987     1.37831  0.00833461
         202     1.34681     1.37815  0.00829481
         203     1.35805     1.37805  0.00825454
         204     1.33775     1.37786  0.00821644
         205     1.34529      1.3777   0.0081779
         206     1.33586     1.37749  0.00814072
         207     1.33702      1.3773  0.00810374
         208     1.35153     1.37718  0.00806573
         209     1.36606     1.37712  0.00802731
         210     1.37607     1.37712  0.00798909
         211     1.36005     1.37704  0.00795163
         212     1.33582     1.37684   0.0079165
         213     1.31586     1.37656  0.00788451
         214     1.30816     1.37624  0.00785414
         215     1.30373      1.3759  0.00782485
         216     1.31535     1.37562  0.00779364
         217     1.33453     1.37543  0.00776002
         218     1.32565      1.3752  0.00772779
         219     1.31638     1.37493  0.00769717
         220     1.32267     1.37469  0.00766584
         221     1.33141      1.3745  0.00763366
         222      1.3157     1.37423  0.00760387
         223     1.31413     1.37396  0.00757454
         224     1.33882     1.37381  0.00754235
         225     1.36408     1.37376  0.00750895
         226     1.33862     1.37361  0.00747734
         227     1.30425      1.3733  0.00745064
         228     1.31041     1.37303  0.00742307
         229     1.31113     1.37276  0.00739557
         230       1.315     1.37251  0.00736768
         231     1.31562     1.37226   0.0073399
         232     1.30905     1.37199  0.00731331
         233      1.3072     1.37171  0.00728721
         234     1.31897     1.37148  0.00725955
         235      1.3351     1.37133  0.00723031
         236     1.34559     1.37122   0.0072005
         237      1.3698     1.37121  0.00717012
         238     1.37441     1.37123     0.00714
         239      1.3784     1.37126  0.00711019
         240     1.37158     1.37126  0.00708057
         241     1.36691     1.37124  0.00705121
         242     1.35396     1.37117  0.00702244
         243     1.34278     1.37105  0.00699451
         244     1.33488      1.3709  0.00696741
         245     1.35926     1.37086  0.00693914
         246     1.37698     1.37088  0.00691097
         247      1.3899     1.37096  0.00688342
         248     1.39275     1.37105  0.00685623
         249     1.35985       1.371  0.00682884
         250      1.3318     1.37084  0.00680332
         251     1.32702     1.37067  0.00677846
         252     1.33336     1.37052  0.00675318
         253      1.2951     1.37022  0.00673306
         254     1.29498     1.36993  0.00671307
         255     1.31734     1.36972  0.00668991
         256     1.31907     1.36952   0.0066667
         257      1.3237     1.36935  0.00664314
         258      1.3399     1.36923  0.00661838
         259     1.35274     1.36917  0.00659313
         260     1.35505     1.36911  0.00656799
         261     1.36603      1.3691  0.00654284
         262     1.36884      1.3691  0.00651787
         263     1.37647     1.36913  0.00649314
         264     1.37712     1.36916  0.00646862
         265     1.38194     1.36921  0.00644439
         266     1.35854     1.36917  0.00642029
         267      1.3355     1.36904  0.00639748
         268     1.32666     1.36888  0.00637556
         269     1.33495     1.36876  0.00635311
         270     1.33059     1.36862  0.00633115
         271     1.33598     1.36849  0.00630894
         272     1.38346     1.36855  0.00628598
         273     1.37854     1.36859  0.00626306
         274     1.36836     1.36859   0.0062402
         275     1.34172     1.36849  0.00621828
         276     1.29572     1.36822  0.00620133
         277     1.29037     1.36794  0.00618531
         278     1.30128      1.3677  0.00616771
         279     1.31606     1.36752  0.00614838
         280     1.32441     1.36736  0.00612835
         281     1.33202     1.36724  0.00610783
         282     1.30942     1.36703  0.00608961
         283     1.29014     1.36676  0.00607415
         284     1.28402     1.36647  0.00605975
         285     1.28436     1.36618  0.00604533
         286     1.29728     1.36594  0.00602899
         287     1.31269     1.36576  0.00601084
         288     1.31215     1.36557  0.00599285
         289     1.31166     1.36538  0.00597501
         290     1.32489     1.36524  0.00595604
         291     1.31719     1.36508  0.00593786
         292     1.29449     1.36484  0.00592245
         293     1.29833     1.36461  0.00590658
         294     1.31055     1.36443  0.00588935
         295     1.30758     1.36423  0.00587254
         296     1.31447     1.36406  0.00585511
         297     1.32486     1.36393  0.00583688
         298     1.32532      1.3638  0.00581873
         299     1.31455     1.36364   0.0058016
         300     1.30004     1.36343  0.00578614
         301     1.28564     1.36317  0.00577268
         302     1.25592     1.36281  0.00576448
         303     1.26106     1.36248  0.00575523
         304     1.27422     1.36219  0.00574361
         305     1.30065     1.36199  0.00572832
         306     1.30732     1.36181  0.00571239
         307     1.32535     1.36169  0.00569501
         308     1.33315      1.3616  0.00567728
         309     1.33491     1.36151  0.00565956
         310     1.32761      1.3614  0.00564236
         311     1.32149     1.36127  0.00562568
         312     1.34507     1.36122  0.00560789
         313     1.34243     1.36116  0.00559029
         314     1.32814     1.36105  0.00557348
         315     1.31877     1.36092   0.0055574
         316     1.29995     1.36073  0.00554316
         317     1.30276     1.36054  0.00552869
         318     1.31751     1.36041  0.00551296
         319     1.34262     1.36035  0.00549596
         320     1.35699     1.36034   0.0054788
         321     1.35378     1.36032  0.00546177
         322      1.3543      1.3603  0.00544484
         323     1.33435     1.36022  0.00542857
         324     1.33276     1.36014  0.00541248
         325     1.33233     1.36005   0.0053965
         326     1.32164     1.35993  0.00538123
         327     1.30308     1.35976  0.00536759
         328     1.29838     1.35957  0.00535448
         329      1.2976     1.35939  0.00534152
         330     1.31491     1.35925  0.00532703
         331     1.32748     1.35915   0.0053118
         332      1.3187     1.35903   0.0052972
         333     1.33629     1.35896  0.00528173
         334     1.36625     1.35899  0.00526597
         335     1.36765     1.35901  0.00525031
         336     1.34294     1.35896   0.0052349
         337      1.3275     1.35887   0.0052202
         338     1.31619     1.35874  0.00520628
         339      1.2941     1.35855  0.00519442
         340     1.29802     1.35838  0.00518219
         341     1.31482     1.35825  0.00516857
         342     1.33204     1.35817  0.00515402
         343      1.3414     1.35812  0.00513923
         344     1.34791     1.35809  0.00512437
         345     1.35214     1.35808  0.00510955
         346     1.35056     1.35805  0.00509483
         347     1.33792       1.358  0.00508048
         348     1.34945     1.35797  0.00506594
         349     1.35345     1.35796  0.00505144
         350      1.3684     1.35799  0.00503709
         351     1.37946     1.35805  0.00502311
         352     1.35674     1.35805  0.00500884
         353     1.34662     1.35801  0.00499476
         354     1.36164     1.35802  0.00498066
         355     1.38371      1.3581  0.00496716
         356     1.40854     1.35824  0.00495522
         357      1.3987     1.35835  0.00494264
         358     1.37414      1.3584  0.00492903
         359     1.35129     1.35838  0.00491534
         360     1.34762     1.35835  0.00490178
         361     1.34624     1.35831  0.00488831
         362     1.34575     1.35828  0.00487493
         363     1.34867     1.35825  0.00486157
         364     1.33544     1.35819  0.00484862
         365     1.31105     1.35806  0.00483706
         366     1.32138     1.35796  0.00482488
         367     1.29416     1.35778  0.00481486
         368     1.31779     1.35768  0.00480301
         369     1.34003     1.35763  0.00479023
         370     1.33796     1.35758  0.00477758
         371     1.30239     1.35743  0.00476702
         372     1.29362     1.35725  0.00475729
         373     1.30639     1.35712  0.00474649
         374     1.33224     1.35705  0.00473426
         375     1.33128     1.35698  0.00472213
         376     1.33753     1.35693  0.00470986
         377     1.34878     1.35691  0.00469742
         378     1.37161     1.35695  0.00468515
         379     1.35847     1.35695  0.00467279
         380     1.34334     1.35692  0.00466063
         381       1.321     1.35682  0.00464935
         382     1.33264     1.35676  0.00463761
         383     1.33629     1.35671  0.00462581
         384     1.33529     1.35665   0.0046141
         385      1.3183     1.35655  0.00460319
         386      1.3308     1.35648  0.00459175
         387     1.35862     1.35649  0.00457989
         388     1.35029     1.35647  0.00456811
         389     1.37517     1.35652  0.00455662
         390     1.35131     1.35651  0.00454496
         391     1.36966     1.35654  0.00453346
         392     1.34977     1.35652  0.00452192
         393     1.32575     1.35645   0.0045111
         394     1.31989     1.35635   0.0045006
         395     1.30523     1.35622  0.00449107
         396     1.31345     1.35612  0.00448103
         397     1.33383     1.35606  0.00447009
         398     1.33271       1.356  0.00445924
         399     1.33182     1.35594  0.00444848
         400     1.32405     1.35586  0.00443807
         401     1.33488     1.35581  0.00442731
         402     1.32388     1.35573  0.00441701
         403      1.3337     1.35567  0.00440639
         404     1.34564     1.35565  0.00439555
         405     1.35974     1.35566  0.00438471
         406     1.33305      1.3556  0.00437427
         407     1.31448      1.3555  0.00436468
         408     1.32219     1.35542  0.00435475
         409     1.32342     1.35534  0.00434481
         410     1.32832     1.35528  0.00433471
         411     1.33589     1.35523  0.00432442
         412     1.32625     1.35516   0.0043145
         413     1.32542     1.35509  0.00430465
         414     1.32227     1.35501  0.00429498
         415     1.34952       1.355  0.00428465
         416     1.37562     1.35504  0.00427464
         417     1.36945     1.35508  0.00426453
         418     1.34984     1.35507  0.00425434
         419      1.3297     1.35501  0.00424462
         420      1.3219     1.35493  0.00423525
         421     1.32785     1.35486  0.00422568
         422      1.3334     1.35481  0.00421597
         423     1.34457     1.35479  0.00420607
         424     1.33112     1.35473  0.00419652
         425      1.3136     1.35464  0.00418776
         426     1.30919     1.35453  0.00417929
         427     1.29703     1.35439  0.00417167
         428     1.30569     1.35428  0.00416348
         429     1.29602     1.35414  0.00415599
         430     1.29578     1.35401  0.00414854
         431     1.28742     1.35385  0.00414179
         432     1.29008     1.35371  0.00413483
         433      1.2866     1.35355  0.00412818
         434     1.28962      1.3534   0.0041213
         435     1.29296     1.35327  0.00411417
         436     1.30612     1.35316  0.00410615
         437     1.31458     1.35307   0.0040977
         438     1.31884     1.35299  0.00408909
         439     1.31004     1.35289  0.00408095
         440     1.30231     1.35278  0.00407329
         441      1.3196      1.3527  0.00406475
         442     1.32512     1.35264  0.00405603
         443     1.34268     1.35262  0.00404694
         444     1.35448     1.35262  0.00403783
         445     1.35193     1.35262  0.00402875
         446     1.34573     1.35261  0.00401975
         447     1.30658      1.3525  0.00401208
         448     1.28546     1.35235  0.00400591
         449     1.30514     1.35225  0.00399837
         450     1.31671     1.35217  0.00399026
         451     1.31142     1.35208  0.00398244
         452     1.30442     1.35197  0.00397502
         453     1.29614     1.35185  0.00396816
         454     1.29569     1.35173  0.00396135
         455      1.2936      1.3516   0.0039547
         456     1.31503     1.35152  0.00394684
         457     1.32865     1.35147  0.00393852
         458     1.32509     1.35141  0.00393034
         459     1.31693     1.35133   0.0039225
         460     1.31072     1.35125  0.00391496
         461      1.3067     1.35115  0.00390766
         462     1.31611     1.35107  0.00389994
         463      1.3036     1.35097  0.00389287
         464     1.29883     1.35086   0.0038861
         465     1.30614     1.35076  0.00387893
         466     1.30769     1.35067  0.00387171
         467     1.33335     1.35063  0.00386359
         468     1.35659     1.35065  0.00385536
         469     1.34504     1.35063  0.00384716
         470     1.35829     1.35065  0.00383901
         471     1.33414     1.35062  0.00383102
         472      1.3068     1.35052  0.00382402
         473     1.32063     1.35046  0.00381646
         474     1.31922     1.35039  0.00380898
         475     1.32226     1.35033  0.00380142
         476     1.30124     1.35023  0.00379483
         477     1.28266     1.35009  0.00378952
         478     1.28074     1.34994  0.00378437
         479     1.27267     1.34978  0.00377991
         480     1.30869      1.3497    0.003773
         481     1.34093     1.34968   0.0037652
         482     1.34497     1.34967   0.0037574
         483     1.34079     1.34965  0.00374967
         484     1.33354     1.34962  0.00374207
         485     1.31426     1.34955  0.00373506
         486     1.30748     1.34946  0.00372838
         487     1.31397     1.34939  0.00372143
         488     1.33919     1.34936  0.00371387
         489     1.34957     1.34937  0.00370627
         490     1.35081     1.34937  0.00369871
         491     1.33397     1.34934  0.00369131
         492     1.33904     1.34932  0.00368387
         493     1.33618     1.34929  0.00367649
         494     1.34754     1.34929  0.00366905
         495     1.34639     1.34928  0.00366164
         496     1.36084      1.3493  0.00365433
         497     1.37323     1.34935   0.0036473
         498     1.36699     1.34939  0.00364015
         499     1.35761      1.3494  0.00363289
         500     1.37912     1.34946  0.00362611
