#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.31687     1.32022  0.00150001
         169     1.34129     1.32034  0.00149631
         170     1.33907     1.32045  0.00149156
         171     1.32261     1.32047  0.00148289
         172     1.31995     1.32046  0.00147427
         173     1.33344     1.32054  0.00146765
         174     1.32913     1.32059  0.00146005
         175     1.32377     1.32061  0.00145182
         176     1.32917     1.32065  0.00144438
         177     1.32944      1.3207  0.00143708
         178     1.31173     1.32065  0.00142989
         179      1.2833     1.32044  0.00143704
         180     1.26777     1.32015  0.00145856
         181     1.28517     1.31996  0.00146325
         182       1.302     1.31986  0.00145853
         183     1.30885      1.3198   0.0014518
         184     1.32036      1.3198  0.00144392
         185     1.32221     1.31982  0.00143617
         186     1.30358     1.31973   0.0014311
         187     1.29694     1.31961  0.00142863
         188     1.30434     1.31953  0.00142333
         189     1.31515      1.3195  0.00141599
         190     1.30504     1.31943  0.00141058
         191     1.28226     1.31923  0.00141656
         192     1.28046     1.31903   0.0014235
         193     1.28258     1.31884   0.0014286
         194      1.2752     1.31862  0.00143884
         195     1.26165     1.31832  0.00146082
         196     1.25689     1.31801  0.00148661
         197     1.27138     1.31777  0.00149779
         198     1.30363      1.3177  0.00149193
         199     1.33498     1.31779  0.00148695
         200     1.33926      1.3179  0.00148339
         201     1.33744     1.31799  0.00147919
         202     1.31898       1.318  0.00147188
         203      1.2958     1.31789  0.00146868
         204      1.2922     1.31776  0.00146687
         205     1.32941     1.31782  0.00146082
         206     1.35222     1.31799  0.00146324
         207     1.34135      1.3181  0.00146052
         208     1.31715      1.3181   0.0014535
         209      1.3136     1.31807  0.00144671
         210     1.29017     1.31794  0.00144591
         211     1.29029     1.31781  0.00144498
         212     1.28588     1.31766  0.00144599
         213     1.26761     1.31742  0.00145817
         214     1.26777     1.31719  0.00146971
         215     1.26601     1.31695  0.00148202
         216     1.26611     1.31672  0.00149373
         217      1.2916      1.3166  0.00149133
         218     1.27932     1.31643  0.00149426
         219     1.28707      1.3163  0.00149344
         220     1.27291      1.3161  0.00149962
         221     1.29715     1.31602  0.00149528
         222     1.31135     1.31599   0.0014887
         223     1.32764     1.31605  0.00148294
         224     1.31781     1.31605  0.00147634
         225     1.34978      1.3162  0.00147736
         226     1.34801     1.31634  0.00147751
         227     1.33745     1.31644  0.00147393
         228     1.31564     1.31643  0.00146747
         229     1.31767     1.31644  0.00146107
         230     1.32415     1.31647   0.0014551
         231     1.31617     1.31647   0.0014488
         232     1.32474     1.31651  0.00144299
         233     1.34017     1.31661  0.00144037
         234     1.34495     1.31673   0.0014393
         235     1.34876     1.31687  0.00143961
         236     1.35672     1.31704  0.00144338
         237     1.36611     1.31724  0.00145207
         238     1.37846      1.3175  0.00146857
         239     1.35276     1.31765  0.00146982
         240     1.34424     1.31776  0.00146787
         241     1.32783      1.3178  0.00146237
         242     1.30194     1.31773   0.0014578
         243     1.30465     1.31768  0.00145279
         244     1.32367     1.31771  0.00144705
         245     1.32385     1.31773  0.00144136
         246     1.31478     1.31772  0.00143555
         247     1.29058     1.31761  0.00143393
         248     1.26731     1.31741  0.00144242
         249     1.26984     1.31721  0.00144922
         250     1.29341     1.31712  0.00144655
         251     1.29848     1.31704  0.00144269
         252     1.29237     1.31695  0.00144029
         253     1.27988      1.3168  0.00144203
         254     1.29567     1.31672  0.00143875
         255     1.29979     1.31665  0.00143464
         256     1.30718     1.31661  0.00142951
         257     1.32527     1.31665  0.00142434
         258     1.34743     1.31677  0.00142381
         259     1.35084      1.3169  0.00142438
         260     1.32519     1.31693  0.00141926
         261     1.30021     1.31687  0.00141527
         262     1.27806     1.31672  0.00141759
         263     1.28761     1.31661  0.00141652
         264     1.29612     1.31653  0.00141328
         265     1.30513     1.31649   0.0014086
         266     1.32406     1.31652  0.00140359
         267     1.32559     1.31655  0.00139875
         268     1.32259     1.31657  0.00139371
         269     1.35124      1.3167  0.00139447
         270      1.3654     1.31688  0.00140093
         271     1.36729     1.31707  0.00140805
         272     1.35566     1.31721     0.00141
         273     1.33282     1.31727    0.001406
         274     1.33635     1.31734  0.00140259
         275     1.30595     1.31729   0.0013981
         276     1.31462     1.31728  0.00139307
         277     1.30583     1.31724  0.00138865
         278     1.29096     1.31715  0.00138687
         279     1.26796     1.31697  0.00139307
         280     1.26262     1.31678  0.00140155
         281     1.26542      1.3166  0.00140843
         282     1.28042     1.31647  0.00140927
         283     1.28364     1.31635  0.00140905
         284      1.2947     1.31628  0.00140615
         285     1.29401      1.3162  0.00140339
         286     1.29384     1.31612  0.00140066
         287     1.29978     1.31606  0.00139693
         288     1.30665     1.31603  0.00139246
         289     1.32084     1.31605  0.00138775
         290     1.32711     1.31608  0.00138348
         291     1.30909     1.31606  0.00137894
         292     1.31285     1.31605  0.00137426
         293     1.31142     1.31603  0.00136966
         294     1.31709     1.31604  0.00136501
         295     1.30372       1.316  0.00136102
         296     1.28478     1.31589   0.0013605
         297     1.29269     1.31581  0.00135816
         298     1.32705     1.31585  0.00135413
         299     1.32191     1.31587  0.00134975
         300     1.32753     1.31591  0.00134581
         301     1.32609     1.31594  0.00134176
         302      1.3287     1.31598  0.00133798
         303     1.30991     1.31596  0.00133372
         304     1.28359     1.31586  0.00133358
