#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152      -0.378   -0.492242   0.0161513
         153   -0.400402   -0.491641   0.0160569
         154   -0.385897   -0.490955   0.0159673
         155   -0.373981     -0.4902   0.0158821
         156   -0.358208   -0.489354   0.0158028
         157   -0.358534   -0.488521   0.0157241
         158   -0.354139    -0.48767   0.0156476
         159   -0.366457   -0.486908   0.0155678
         160   -0.383932   -0.486264   0.0154838
         161   -0.394015   -0.485691   0.0153982
         162   -0.388439   -0.485091   0.0153148
         163   -0.415561   -0.484664   0.0152268
         164   -0.413879   -0.484233   0.0151401
         165   -0.419867   -0.483843   0.0150533
         166   -0.430398   -0.483521   0.0149661
         167   -0.394788   -0.482989   0.0148859
         168   -0.385762   -0.482411   0.0148086
         169   -0.391385   -0.481872   0.0147307
         170     -0.4116   -0.481459   0.0146499
         171   -0.396214    -0.48096   0.0145727
         172   -0.405633   -0.480522   0.0144945
         173   -0.394425   -0.480025   0.0144193
         174   -0.391621   -0.479516   0.0143454
         175   -0.393658   -0.479026   0.0142718
         176   -0.413398   -0.478653   0.0141956
         177   -0.431835   -0.478388   0.0141178
         178   -0.423589   -0.478081   0.0140419
         179   -0.396441   -0.477625   0.0139708
         180   -0.390293   -0.477139   0.0139016
         181   -0.414611   -0.476794   0.0138291
         182   -0.429371   -0.476533   0.0137556
         183   -0.454336   -0.476412    0.013681
         184   -0.479283   -0.476428   0.0136066
         185   -0.460739   -0.476343   0.0135333
         186    -0.46167   -0.476264   0.0134608
         187   -0.473546   -0.476249   0.0133888
         188   -0.480601   -0.476273   0.0133176
         189   -0.472557   -0.476253   0.0132472
         190    -0.46094   -0.476172   0.0131777
         191   -0.418804   -0.475872   0.0131121
         192   -0.395687   -0.475454   0.0130505
         193   -0.391447   -0.475019   0.0129901
         194   -0.403607   -0.474651   0.0129284
         195   -0.378478   -0.474158   0.0128715
         196   -0.341465   -0.473481   0.0128236
         197   -0.343436   -0.472821   0.0127755
         198   -0.374425   -0.472324   0.0127206
         199   -0.392009    -0.47192   0.0126631
         200    -0.37942   -0.471458   0.0126082
         201   -0.398681   -0.471095   0.0125507
         202   -0.423606    -0.47086   0.0124908
         203   -0.440182   -0.470709   0.0124302
         204   -0.410302   -0.470413   0.0123728
         205   -0.421373   -0.470174   0.0123147
         206   -0.407166   -0.469868   0.0122587
         207   -0.409158   -0.469575    0.012203
         208   -0.430985   -0.469389   0.0121458
         209   -0.452342   -0.469308   0.0120879
         210   -0.467727     -0.4693   0.0120304
         211     -0.4432   -0.469176    0.011974
         212    -0.40689   -0.468883   0.0119211
         213   -0.377064   -0.468452   0.0118729
         214   -0.365301    -0.46797   0.0118272
         215    -0.35937   -0.467464    0.011783
         216   -0.376637   -0.467044   0.0117359
         217   -0.405268   -0.466759   0.0116853
         218   -0.391559   -0.466414   0.0116368
         219   -0.378214   -0.466012   0.0115906
         220   -0.387132   -0.465653   0.0115435
         221   -0.400496   -0.465358    0.011495
         222    -0.37688    -0.46496   0.0114502
         223   -0.374956   -0.464556   0.0114059
         224   -0.412159   -0.464322   0.0113574
         225   -0.449671   -0.464257   0.0113071
         226   -0.410615    -0.46402   0.0112596
         227   -0.360284   -0.463563   0.0112192
         228   -0.369625   -0.463151   0.0111776
         229   -0.369878   -0.462743   0.0111362
         230   -0.376859    -0.46237    0.011094
         231    -0.37643   -0.461998   0.0110522
         232   -0.367856   -0.461592   0.0110121
         233    -0.36439   -0.461175   0.0109727
         234   -0.382492   -0.460839    0.010931
         235   -0.406104   -0.460606   0.0108869
         236   -0.422762   -0.460445    0.010842
         237   -0.458324   -0.460436   0.0107962
         238   -0.465329   -0.460457   0.0107509
         239   -0.470625     -0.4605    0.010706
         240    -0.46127   -0.460503   0.0106614
         241   -0.454386   -0.460477   0.0106172
         242   -0.433858   -0.460367   0.0105739
         243   -0.417857   -0.460192   0.0105318
         244   -0.406374   -0.459972   0.0104909
         245   -0.442634   -0.459901   0.0104484
         246   -0.469349    -0.45994    0.010406
         247    -0.48844   -0.460055   0.0103645
         248    -0.49254   -0.460186   0.0103235
         249   -0.442757   -0.460116   0.0102823
         250   -0.401224    -0.45988   0.0102439
         251   -0.393918   -0.459618   0.0102064
         252   -0.403431   -0.459395   0.0101683
         253   -0.345649   -0.458945   0.0101381
         254   -0.346137   -0.458501   0.0101079
         255   -0.380003   -0.458193   0.0100729
         256   -0.382029   -0.457896    0.010038
         257   -0.389532    -0.45763   0.0100025
         258   -0.413426   -0.457458  0.00996516
         259   -0.432982   -0.457364  0.00992713
         260   -0.435896   -0.457281  0.00988929
         261   -0.453241   -0.457266  0.00985141
         262   -0.456549   -0.457263  0.00981381
         263   -0.468666   -0.457306  0.00977659
         264   -0.469647   -0.457353  0.00973967
         265   -0.475886   -0.457423  0.00970317
         266   -0.440932   -0.457361  0.00966689
         267   -0.406811   -0.457172  0.00963254
         268   -0.393378   -0.456934  0.00959954
         269   -0.405278   -0.456742  0.00956577
         270    -0.40008   -0.456532  0.00953264
         271   -0.408047   -0.456353  0.00949915
         272   -0.479106   -0.456436  0.00946459
         273   -0.470889   -0.456489  0.00943007
         274   -0.455963   -0.456487  0.00939565
         275   -0.415075   -0.456337  0.00936269
         276   -0.346107   -0.455938  0.00933729
         277   -0.339055   -0.455516  0.00931311
         278   -0.355535   -0.455156  0.00928655
         279   -0.377804   -0.454879   0.0092574
         280   -0.389911   -0.454647  0.00922725
         281   -0.401267   -0.454457  0.00919636
         282     -0.3672   -0.454147  0.00916896
         283   -0.337891   -0.453736  0.00914576
         284   -0.329609   -0.453299  0.00912399
         285   -0.329848   -0.452866  0.00910225
         286   -0.349307   -0.452504  0.00907763
         287    -0.37244   -0.452225  0.00905028
         288   -0.371772   -0.451946  0.00902317
         289    -0.37061   -0.451664  0.00899633
         290   -0.390625   -0.451454  0.00896777
         291   -0.378997   -0.451205  0.00894041
         292   -0.344722    -0.45084  0.00891723
         293   -0.350731   -0.450499  0.00889334
         294   -0.369338   -0.450222  0.00886737
         295   -0.364956   -0.449933  0.00884202
         296   -0.374818    -0.44968  0.00881579
         297   -0.390316    -0.44948  0.00878837
         298   -0.391708   -0.449286  0.00876102
         299   -0.374924   -0.449037  0.00873525
         300   -0.353181   -0.448718  0.00871197
         301    -0.33125   -0.448327  0.00869177
         302   -0.287169   -0.447794  0.00867935
         303    -0.29486   -0.447289  0.00866537
         304   -0.314928   -0.446854   0.0086478
         305   -0.354739   -0.446552  0.00862472
         306   -0.364191   -0.446283  0.00860073
         307   -0.391621   -0.446104  0.00857456
         308    -0.40335   -0.445966  0.00854784
         309   -0.405708   -0.445835  0.00852117
         310   -0.394363   -0.445669   0.0084953
         311   -0.385169   -0.445475  0.00847021
         312   -0.421283   -0.445397  0.00844342
         313   -0.417311   -0.445308  0.00841692
         314   -0.394994   -0.445147  0.00839164
         315    -0.38107   -0.444944  0.00836746
         316   -0.353701   -0.444655  0.00834597
         317   -0.357594    -0.44438  0.00832416
         318   -0.379611   -0.444177  0.00830047
         319    -0.41771   -0.444094  0.00827486
         320   -0.438991   -0.444078  0.00824902
         321   -0.433583   -0.444045  0.00822339
         322   -0.435055   -0.444017   0.0081979
         323   -0.404651   -0.443895  0.00817342
         324   -0.402493   -0.443768  0.00814919
         325   -0.401736   -0.443638  0.00812515
         326   -0.385643    -0.44346  0.00810217
         327    -0.35772   -0.443198  0.00808163
         328   -0.350922   -0.442917  0.00806189
         329   -0.349762   -0.442634  0.00804236
         330   -0.375994   -0.442432  0.00802052
         331   -0.394883   -0.442288  0.00799758
         332   -0.381285   -0.442104   0.0079756
         333   -0.408423   -0.442003  0.00795229
         334   -0.453453   -0.442038  0.00792855
         335   -0.454768   -0.442076  0.00790498
         336   -0.417452   -0.442002  0.00788179
         337    -0.39469   -0.441862  0.00785965
         338   -0.377622   -0.441672   0.0078387
         339   -0.344283   -0.441384  0.00782084
         340   -0.350613   -0.441118  0.00780239
         341    -0.37648   -0.440928  0.00778181
         342   -0.400754    -0.44081  0.00775994
         343   -0.415987   -0.440738  0.00773766
         344   -0.425389   -0.440694  0.00771529
         345   -0.431429   -0.440667  0.00769298
         346   -0.429688   -0.440635  0.00767081
         347   -0.409814   -0.440546  0.00764921
         348   -0.427713   -0.440509  0.00762732
         349   -0.433982   -0.440491  0.00760549
         350   -0.456071   -0.440535  0.00758389
         351   -0.473056   -0.440628  0.00756285
         352   -0.438393   -0.440621  0.00754137
         353   -0.423536   -0.440573  0.00752016
         354   -0.446322   -0.440589  0.00749893
         355   -0.479263   -0.440698   0.0074786
         356   -0.516671   -0.440912  0.00746064
         357    -0.50185   -0.441082  0.00744169
         358   -0.463978   -0.441146  0.00742118
         359   -0.430711   -0.441117  0.00740057
         360   -0.424932   -0.441072  0.00738015
         361   -0.422795   -0.441022  0.00735988
         362   -0.422607   -0.440971  0.00733972
         363   -0.426732   -0.440931  0.00731961
         364   -0.406279   -0.440836  0.00730012
         365   -0.370034   -0.440642  0.00728269
         366   -0.385015    -0.44049  0.00726438
         367   -0.345189   -0.440231  0.00724923
         368    -0.38048   -0.440068  0.00723134
         369   -0.413919   -0.439997  0.00721209
         370   -0.410112   -0.439917  0.00719305
         371   -0.356455   -0.439692  0.00717718
         372    -0.34382   -0.439434  0.00716252
         373   -0.363044   -0.439229  0.00714624
         374   -0.402033    -0.43913  0.00712782
         375   -0.400596   -0.439027  0.00710956
         376   -0.409334   -0.438948  0.00709109
         377   -0.427056   -0.438916  0.00707235
         378   -0.460652   -0.438974  0.00705387
         379   -0.440946   -0.438979  0.00703526
         380   -0.418275   -0.438925  0.00701696
         381   -0.384698   -0.438782  0.00699999
         382   -0.402305   -0.438687  0.00698231
         383   -0.407876   -0.438606  0.00696455
         384   -0.406571   -0.438523  0.00694691
         385   -0.380906   -0.438373  0.00693048
         386   -0.399615   -0.438273  0.00691325
         387   -0.441797   -0.438282  0.00689539
         388   -0.429069   -0.438258  0.00687766
         389   -0.465862   -0.438329  0.00686035
         390   -0.430955    -0.43831  0.00684278
         391   -0.457796    -0.43836  0.00682546
         392   -0.428124   -0.438334   0.0068081
         393   -0.391958   -0.438216   0.0067918
         394   -0.382791   -0.438075  0.00677602
         395   -0.361625   -0.437882  0.00676163
         396   -0.373672    -0.43772   0.0067465
         397   -0.404096   -0.437635  0.00673003
         398   -0.402944   -0.437548  0.00671369
         399   -0.401192   -0.437457  0.00669748
         400   -0.389228   -0.437336  0.00668182
         401   -0.406046   -0.437258  0.00666562
         402   -0.389101   -0.437138  0.00665011
         403   -0.404174   -0.437056  0.00663411
         404   -0.421961   -0.437019   0.0066178
         405   -0.442757   -0.437033  0.00660147
         406    -0.40285   -0.436949  0.00658575
         407   -0.374976   -0.436797  0.00657133
         408   -0.386648   -0.436674  0.00655637
         409   -0.388568   -0.436556   0.0065414
