#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.720073   -0.720073           0
           2   -0.721444   -0.720758 0.000484792
           3   -0.719638   -0.720385 0.000444267
           4    -0.72167   -0.720706 0.000434124
           5   -0.719516   -0.720468 0.000407385
           6    -0.72081   -0.720525 0.000343454
           7   -0.720566   -0.720531 0.000294439
           8   -0.720794   -0.720564 0.000259466
           9   -0.719654   -0.720463 0.000249549
          10   -0.720235    -0.72044 0.000225631
          11   -0.720524   -0.720448 0.000205248
          12   -0.720706   -0.720469 0.000189265
          13   -0.721274   -0.720531  0.00018454
          14   -0.720568   -0.720534 0.000171378
          15   -0.720073   -0.720503 0.000162685
          16   -0.720179   -0.720483 0.000153772
          17   -0.721089   -0.720518   0.0001488
          18   -0.719611   -0.720468 0.000148826
          19   -0.720374   -0.720463 0.000141075
          20    -0.72121   -0.720501  0.00013888
