#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.56178     5.56178           0
           2     5.65311     5.60744   0.0322904
           3     5.58356     5.59948   0.0224868
           4     5.55129     5.58743   0.0198316
           5     5.63175      5.5963   0.0177354
           6     5.63524     5.60279    0.015923
           7     5.67061     5.61248   0.0163323
           8     5.71369     5.62513   0.0185545
           9     5.66009     5.62901   0.0168948
          10     5.57771     5.62388   0.0159653
          11     5.57339     5.61929   0.0151593
          12     5.68347     5.62464   0.0148094
          13       5.517     5.61636   0.0158163
          14      5.6235     5.61687   0.0146948
          15     5.54151     5.61185   0.0145486
          16     5.63374     5.61322   0.0137035
          17     5.58476     5.61154   0.0129992
          18     5.65022     5.61369   0.0124534
          19      5.4807     5.60669   0.0136239
          20     5.59392     5.60605   0.0129576
