#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.400883    0.400883           0
           2    0.399025    0.399954 0.000656847
           3    0.397625    0.399178 0.000770457
           4    0.398848    0.399095 0.000582237
           5     0.39706    0.398688 0.000591197
           6    0.395112    0.398092 0.000734011
           7    0.400045    0.398371 0.000680097
           8    0.398578    0.398397 0.000595574
           9    0.397943    0.398347 0.000531532
          10    0.396877      0.3982 0.000498278
          11     0.39791    0.398173 0.000453675
          12    0.397314    0.398102 0.000421486
          13     0.39448    0.397823 0.000472251
          14    0.400172    0.397991  0.00046737
          15    0.396863    0.397916 0.000442216
          16     0.40021    0.398059 0.000437215
          17    0.397238    0.398011 0.000414157
          18    0.400078    0.398126 0.000406767
          19    0.396334    0.398031 0.000396136
          20    0.398887    0.398074 0.000378632
