#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.076016    0.076016           0
           2    0.080694    0.078355  0.00165392
           3   0.0683112   0.0750071  0.00294758
           4    0.073366   0.0745968  0.00223905
           5   0.0701256   0.0737026   0.0019617
           6   0.0664732   0.0724977  0.00197034
           7   0.0664676   0.0716362   0.0018677
           8   0.0752332   0.0720858  0.00168749
           9   0.0773748   0.0726735  0.00159905
          10   0.0724304   0.0726492  0.00143933
          11   0.0711344   0.0725115  0.00131505
          12   0.0714772   0.0724253  0.00120828
          13   0.0736412   0.0725188  0.00111895
          14   0.0687968    0.072253  0.00107015
          15     0.06688   0.0718948  0.00105705
          16   0.0689436   0.0717103  0.00100695
          17     0.07151   0.0716985 0.000947787
          18   0.0736696    0.071808 0.000901435
          19   0.0783452   0.0721521 0.000917305
          20   0.0747132   0.0722802 0.000880333
