#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0509696   0.0509696           0
           2   0.0500788   0.0505242 0.000314945
           3   0.0443524   0.0484669  0.00169282
           4   0.0499968   0.0488494  0.00131211
           5   0.0498316   0.0490458  0.00106429
           6   0.0501104   0.0492233 0.000901579
           7   0.0516132   0.0495647 0.000834929
           8   0.0534624   0.0500519 0.000861062
           9   0.0508388   0.0501393 0.000769815
          10    0.051638   0.0502892 0.000707271
          11   0.0495868   0.0502253 0.000645849
          12   0.0506664   0.0502621 0.000593073
          13   0.0466968   0.0499878 0.000607564
          14    0.049604   0.0499604 0.000564785
          15   0.0538488   0.0502197 0.000583597
          16    0.049904   0.0501999 0.000547456
          17   0.0499344   0.0501843 0.000515475
          18   0.0505508   0.0502047  0.00048724
          19   0.0558424   0.0505014 0.000544501
          20   0.0540844   0.0506805 0.000545953
