#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.527584   -0.527584           0
           2   -0.538443   -0.533014  0.00383937
           3   -0.542735   -0.536254  0.00368137
           4   -0.529253   -0.534504  0.00314975
           5   -0.518422   -0.531287  0.00382433
           6   -0.498342   -0.525797  0.00593979
           7   -0.496292   -0.521582  0.00641469
           8   -0.500458   -0.518941  0.00613224
           9   -0.517698   -0.518803  0.00545244
          10   -0.509891   -0.517912   0.0049795
          11   -0.536107   -0.519566  0.00479367
          12   -0.523193   -0.519868  0.00440371
          13   -0.515948   -0.519567  0.00407528
          14   -0.502932   -0.518379   0.0039536
          15   -0.525532   -0.518855  0.00371868
          16   -0.505354   -0.518012  0.00358073
          17    -0.48753   -0.516219  0.00379254
          18   -0.502635   -0.515464  0.00365615
          19    -0.53128   -0.516296  0.00355722
          20   -0.531785   -0.517071  0.00346263
          21   -0.521232   -0.517269  0.00330341
          22   -0.524583   -0.517601  0.00316994
          23   -0.538479   -0.518509  0.00315941
          24   -0.554424   -0.520006  0.00336355
          25   -0.612431   -0.523703  0.00485261
          26   -0.621721   -0.527473   0.0059529
          27   -0.628246   -0.531205  0.00680259
          28   -0.619032   -0.534342  0.00724681
          29   -0.618407    -0.53724  0.00755449
          30   -0.636979   -0.540565  0.00800085
          31   -0.603198   -0.542585  0.00799379
          32   -0.584736   -0.543903  0.00785176
          33   -0.579782    -0.54499  0.00768874
          34   -0.575774   -0.545895  0.00751572
          35   -0.582485   -0.546941  0.00737333
          36   -0.585664   -0.548016  0.00724655
          37   -0.565736   -0.548495  0.00706651
          38   -0.587087   -0.549511  0.00695314
          39   -0.646556   -0.551999  0.00720636
          40   -0.683014   -0.555275  0.00773482
          41   -0.697626   -0.558747  0.00828887
          42   -0.735327   -0.562951  0.00909548
          43   -0.792776   -0.568296   0.0103357
          44   -0.868524   -0.575119   0.0121461
          45   -0.974132   -0.583986   0.0147621
          46    -1.12917   -0.595838   0.0185999
          47    -1.31388   -0.611115   0.0236607
          48    -1.50929   -0.629827   0.0296578
          49    -1.60354   -0.649699   0.0350838
          50    -1.43705   -0.665446   0.0377511
