#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.41574     1.41574           0
           2     1.42311     1.41943  0.00260634
           3     1.42576     1.42154   0.0024473
           4      1.4169     1.42038  0.00209241
           5     1.40982     1.41827  0.00252321
           6     1.39634     1.41461   0.0039438
           7      1.3952     1.41184  0.00424454
           8     1.39744     1.41004  0.00407765
           9     1.40903     1.40993  0.00362613
          10     1.40445     1.40938  0.00330459
          11     1.42088     1.41042  0.00316516
          12     1.41327     1.41066  0.00291028
          13      1.4082     1.41047  0.00269254
          14     1.39952     1.40969  0.00261129
          15     1.41418     1.40999  0.00245433
          16     1.40139     1.40945  0.00235898
          17     1.38933     1.40827  0.00249967
          18     1.39931     1.40777  0.00240984
          19     1.41834     1.40833  0.00234628
          20     1.41889     1.40885  0.00228769
          21     1.41135     1.40897  0.00218185
          22     1.41392      1.4092  0.00209423
          23     1.42293      1.4098  0.00208655
          24     1.43325     1.41077   0.0022166
          25     1.47232     1.41323  0.00321656
          26     1.47819     1.41573  0.00394557
          27       1.483     1.41822  0.00451804
          28     1.47669     1.42031  0.00481503
          29     1.47626     1.42224  0.00502061
          30     1.48842     1.42445   0.0053158
          31     1.46646      1.4258  0.00531431
          32     1.45369     1.42667  0.00521922
          33     1.45075      1.4274   0.0051118
          34     1.44763       1.428  0.00499595
          35      1.4528     1.42871  0.00490321
          36     1.45399     1.42941  0.00481703
          37     1.44165     1.42974  0.00469818
          38     1.45515     1.43041   0.0046219
          39     1.49472     1.43206  0.00478853
          40     1.51903     1.43423  0.00513884
          41     1.52878     1.43654   0.0055067
          42     1.55338     1.43932  0.00603755
          43     1.59125     1.44285  0.00685349
          44      1.6414     1.44737  0.00804725
          45     1.71142     1.45323   0.0097765
          46     1.81333     1.46106   0.0123052
          47     1.93587     1.47116   0.0156502
          48     2.06592     1.48356   0.0196255
          49     2.13089     1.49677     0.02325
          50     2.01875     1.50721   0.0250193
