#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.426219    0.426219           0
           2    0.422469    0.424344  0.00132579
           3    0.418222    0.422303  0.00188628
           4    0.422702    0.422403  0.00141734
           5    0.427971    0.423517  0.00150923
           6    0.418901    0.422747  0.00144047
           7    0.412072    0.421222  0.00187561
           8    0.426056    0.421827  0.00173577
           9    0.420342    0.421662  0.00155073
          10    0.424106    0.421906  0.00141478
          11    0.421465    0.421866  0.00128673
          12    0.422977    0.421959  0.00118283
          13    0.419175    0.421744  0.00111106
          14    0.422938     0.42183  0.00103496
          15    0.422642    0.421884 0.000967383
          16    0.422856    0.421945 0.000908829
          17    0.413374     0.42144 0.000985318
          18    0.426385    0.421715 0.000968109
          19    0.419086    0.421577 0.000926989
          20    0.420771    0.421537 0.000881514
