#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.760963   -0.760963           0
           2   -0.762225   -0.761594 0.000446043
           3   -0.762602    -0.76193  0.00040451
           4   -0.761092    -0.76172  0.00035348
           5   -0.762333   -0.761843 0.000303262
           6   -0.761649   -0.761811 0.000254438
           7   -0.761609   -0.761782 0.000219715
           8   -0.761196   -0.761708 0.000204085
           9   -0.762236   -0.761767 0.000189639
          10   -0.762554   -0.761846 0.000186302
          11   -0.762009   -0.761861 0.000169953
          12   -0.762368   -0.761903 0.000160963
          13   -0.762426   -0.761943 0.000153521
          14   -0.759992   -0.761804 0.000195851
          15   -0.762471   -0.761848 0.000187781
          16   -0.761759   -0.761843 0.000176127
          17    -0.76135   -0.761814  0.00016813
          18   -0.760749   -0.761755 0.000168879
          19   -0.763342   -0.761838 0.000179462
          20    -0.76057   -0.761775 0.000181351
