#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.367833    0.367833           0
           2    0.371462    0.369647  0.00128305
           3    0.367587     0.36896  0.00102282
           4    0.370894    0.369444 0.000873897
           5    0.373301    0.370215 0.000982323
           6    0.368453    0.369922  0.00086138
           7    0.371172      0.3701 0.000756633
           8    0.371023    0.370216 0.000670789
           9    0.369809     0.37017 0.000597774
          10    0.372319    0.370385 0.000575321
          11    0.372239    0.370554 0.000547142
          12    0.373283    0.370781 0.000546768
          13     0.37123    0.370816 0.000505798
          14     0.37591     0.37118 0.000586102
          15    0.369122    0.371042 0.000562848
          16    0.373323    0.371185 0.000545425
          17    0.371636    0.371212 0.000513986
          18    0.376341    0.371497 0.000558864
          19    0.366768    0.371248 0.000582232
          20    0.374489     0.37141 0.000575233
