#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682195   -0.682195           0
           2   -0.682854   -0.682524  0.00023278
           3   -0.681943   -0.682331 0.000221595
           4    -0.68241   -0.682351 0.000167091
           5   -0.681705   -0.682221 0.000176675
           6    -0.68327   -0.682396 0.000217044
           7   -0.682522   -0.682414 0.000186786
           8    -0.68187   -0.682346 0.000175403
           9    -0.68194   -0.682301 0.000161614
          10   -0.682061   -0.682277 0.000147226
          11   -0.681485   -0.682205 0.000150427
          12   -0.682539   -0.682233 0.000140447
          13   -0.682598   -0.682261 0.000132417
          14   -0.683602   -0.682357 0.000153737
          15    -0.68219   -0.682346 0.000143887
          16   -0.681918   -0.682319 0.000137357
          17   -0.681908   -0.682295 0.000131386
          18   -0.682903   -0.682328 0.000128363
          19    -0.68261   -0.682343 0.000122457
          20   -0.683701   -0.682411 0.000133831
