#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.47419     4.47419           0
           2     4.48018     4.47718  0.00211661
           3     4.35941     4.43793    0.032084
           4     4.42879     4.43564   0.0241441
           5     4.36909     4.42233   0.0226897
           6     4.46923     4.43015   0.0202096
           7     4.47318      4.4363   0.0182333
           8     4.36789     4.42774   0.0178469
           9     4.48567     4.43418   0.0169849
          10     4.35179     4.42594   0.0171687
          11     4.50611     4.43323    0.017085
          12     4.47613     4.43681   0.0160308
          13     4.37575     4.43211   0.0154704
          14       4.432      4.4321   0.0143654
          15     4.33957     4.42593   0.0146725
          16     4.54792     4.43356   0.0156112
          17     4.30477     4.42598   0.0164284
          18     4.46371     4.42808   0.0156489
          19      4.4441     4.42892   0.0148479
          20     4.47892     4.43142   0.0143145
