#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     76.8174     76.8174           0
           2     83.4464     80.1319      2.3437
           3     79.8016     80.0218     1.56505
           4     75.7932     78.9647     1.48861
           5     79.9498     79.1617     1.20386
           6     79.3195      79.188      1.0035
           7     77.8914     79.0028     0.87707
           8     82.5379     79.4446    0.871675
           9     79.8797      79.493    0.776162
          10     75.2718     79.0709    0.805191
          11      81.225     79.2667    0.755431
          12     78.2007     79.1779    0.697682
          13     81.0982     79.3256    0.659467
          14      80.627     79.4185    0.618878
          15     77.9149     79.3183    0.585682
          16      79.874      79.353    0.550106
          17     76.1684     79.1657    0.548717
          18      74.879     78.9275    0.567566
          19     79.5986     78.9629    0.538791
          20     82.0884     79.1191    0.534035
