#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.972106   -0.972106           0
           2   -0.978688   -0.975397  0.00232695
           3   -0.975101   -0.975298  0.00155339
           4   -0.970987   -0.974221  0.00149284
           5   -0.975654   -0.974507  0.00122147
           6   -0.974223    -0.97446  0.00101881
           7   -0.972508   -0.974181 0.000910625
           8   -0.977421   -0.974586 0.000882262
           9   -0.974976   -0.974629 0.000785297
          10   -0.970969   -0.974263 0.000787474
          11   -0.976563   -0.974472 0.000743124
          12   -0.974121   -0.974443 0.000681775
          13   -0.975578    -0.97453 0.000634899
          14   -0.976097   -0.974642 0.000599327
          15   -0.972879   -0.974525 0.000570781
          16    -0.97525    -0.97457 0.000536906
          17   -0.971151   -0.974369 0.000541681
          18   -0.969936   -0.974123 0.000564805
          19   -0.974566   -0.974146 0.000535561
          20   -0.976647   -0.974271  0.00052318
