#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.342757    0.342757           0
           2    0.287579    0.315168   0.0195085
           3     0.31438    0.314906   0.0130075
           4    0.354071    0.324697   0.0129257
           5    0.312055    0.322169   0.0105849
           6    0.331303    0.323691   0.0089296
           7    0.345516    0.326809  0.00818018
           8    0.307738    0.324425  0.00749696
           9    0.321019    0.324047  0.00667351
          10      0.3445    0.326092  0.00631182
          11    0.307346    0.324388  0.00596364
          12    0.326482    0.324562  0.00546922
          13    0.322458    0.324401  0.00505091
          14    0.305939    0.323082  0.00485922
          15     0.34486    0.324534  0.00474723
          16    0.322432    0.324402  0.00445235
          17     0.35017    0.325918  0.00444097
          18     0.35399    0.327478  0.00445968
          19    0.330044    0.327613    0.004227
          20    0.309733    0.326719   0.0041091
