#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.17877     3.17877           0
           2     3.22975     3.20426   0.0180251
           3     3.25473     3.22109   0.0182495
           4     3.26571     3.23224   0.0167531
           5      3.3029     3.24637   0.0184228
           6     3.29987     3.25529   0.0173766
           7     3.26391     3.25652   0.0149378
           8     3.29331     3.26112   0.0137604
           9      3.2888     3.26419   0.0125704
          10      3.2922     3.26699   0.0116211
