#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.192158    0.192158           0
           2    0.190061     0.19111 0.000741472
           3    0.196476    0.192899  0.00154198
           4    0.209831    0.197132  0.00384409
           5     0.20225    0.198155  0.00320867
           6    0.201626    0.198734  0.00272552
           7    0.219482    0.201698  0.00360385
           8     0.18352    0.199426  0.00380284
           9    0.205001    0.200045  0.00343039
          10    0.204095     0.20045  0.00311116
          11    0.209975    0.201316  0.00294636
          12    0.175796    0.199189  0.00338237
          13    0.199424    0.199207  0.00312223
          14    0.203588     0.19952  0.00291485
          15    0.200474    0.199584  0.00272122
          16     0.20677    0.200033  0.00258795
          17    0.176726    0.198662  0.00277521
          18     0.21107    0.199351  0.00270529
          19    0.211742    0.200003  0.00264034
          20    0.198742     0.19994  0.00250908
