#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.48801     1.48801           0
           2     1.51537     1.50169  0.00967188
           3     1.49728     1.50022  0.00655876
           4     1.52501     1.50642  0.00728164
           5     1.50315     1.50576  0.00585458
           6     1.51124     1.50668  0.00494943
           7     1.52132     1.50877   0.0046638
           8     1.50514     1.50831  0.00410284
           9     1.49714     1.50707  0.00383029
          10     1.49962     1.50633  0.00351898
          11     1.50629     1.50632  0.00319907
          12     1.50403     1.50613  0.00293819
          13     1.48638     1.50461  0.00308014
          14     1.49061     1.50361  0.00301822
          15     1.50863     1.50395  0.00283547
          16     1.50286     1.50388  0.00265906
          17     1.50557     1.50398   0.0025045
          18     1.52453     1.50512  0.00261266
          19     1.52267     1.50604  0.00263343
          20      1.5133     1.50641  0.00252665
