#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.211727    0.211727           0
           2    0.211735    0.211731 2.75051e-06
           3     0.21182    0.211761 2.43099e-05
           4    0.213348    0.212158 0.000344161
           5    0.212191    0.212165 0.000275394
           6    0.211661    0.212081 0.000241929
           7    0.211728     0.21203 0.000212559
           8    0.212207    0.212052 0.000187134
           9     0.21212     0.21206 0.000166492
          10    0.211634    0.212017 0.000155198
          11    0.214109    0.212207 0.000229733
          12    0.213071    0.212279 0.000221562
          13    0.210183    0.212118 0.000256569
          14    0.211047    0.212042 0.000249379
          15    0.212379    0.212064 0.000233764
          16    0.212417    0.212086  0.00022019
          17    0.211885    0.212074 0.000207554
          18    0.213094    0.212131   0.0002036
          19    0.211252    0.212085 0.000198073
          20    0.212238    0.212092 0.000188319
