#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0305312   0.0305312           0
           2   0.0308248    0.030678 0.000103803
           3   0.0266648   0.0293403  0.00109444
           4   0.0300204   0.0295103 0.000833937
           5   0.0268812   0.0289845 0.000816259
           6    0.032188   0.0295184 0.000836811
           7   0.0308072   0.0297025 0.000737242
           8    0.032064   0.0299977 0.000701698
           9   0.0265564   0.0296153 0.000720417
          10     0.03192   0.0298458 0.000684247
          11   0.0321592   0.0300561 0.000653564
          12   0.0302648   0.0300735 0.000599332
          13   0.0283188   0.0299385 0.000568225
          14   0.0272436    0.029746 0.000559293
          15    0.029574   0.0297346 0.000522125
          16   0.0275836   0.0296001 0.000506503
          17   0.0285076   0.0295359 0.000480769
          18   0.0314388   0.0296416 0.000465538
          19   0.0272536   0.0295159 0.000457687
          20   0.0305112   0.0295657   0.0004375
