sigma,mu,exp_H,error,acceptance
0.622617,0.797023,-0.444763,0.00167022,0.569145
0.622617,0.797023,-0.445216,0.00208214,0.537625
0.622617,0.797023,-0.443891,0.00167656,0.549115
0.622617,0.797023,-0.441761,0.00238617,0.561955
0.625247,0.765837,-0.439696,0.00170141,0.553205
0.625247,0.765837,-0.438931,0.00165037,0.57284
0.599205,0.788053,-0.442348,0.00207284,0.550665
0.599205,0.788053,-0.442232,0.00176364,0.512015
0.599205,0.788053,-0.444149,0.00168026,0.513085
0.599205,0.788053,-0.440052,0.00177053,0.518495
0.599205,0.788053,-0.442084,0.00176607,0.532375
0.599205,0.788053,-0.441738,0.0019447,0.565325
0.599205,0.788053,-0.444613,0.00173465,0.506995
0.599205,0.788053,-0.440831,0.00163509,0.52998
0.607624,0.772224,-0.440316,0.00151992,0.55031
0.607624,0.772224,-0.43931,0.00150902,0.56959
0.607624,0.772224,-0.440621,0.00184447,0.52597
0.607624,0.772224,-0.440264,0.00160158,0.548145
0.626859,0.756685,-0.437647,0.00179825,0.551235
0.626859,0.756685,-0.438646,0.00151967,0.530005
