sigma,mu,exp_H,error,acceptance
0.61324,0.784247,-0.4452,0.00135285,0.55724
0.61324,0.784247,-0.445756,0.00150547,0.55444
0.616473,0.794002,-0.443643,0.00138768,0.55846
0.608677,0.80301,-0.443884,0.00171054,0.554605
0.611921,0.805728,-0.444688,0.00188808,0.55864
0.607271,0.812079,-0.445198,0.00187358,0.55798
0.607271,0.812079,-0.443796,0.00170206,0.554185
0.607271,0.812079,-0.441095,0.00188514,0.55905
0.607028,0.806267,-0.442553,0.00168237,0.556515
0.606537,0.80138,-0.44596,0.00146928,0.55528
0.60501,0.79136,-0.444661,0.00183402,0.553095
0.614686,0.78738,-0.443398,0.00161616,0.55698
0.605068,0.793751,-0.443474,0.00196637,0.557235
0.605068,0.793751,-0.446114,0.00165232,0.550115
0.613187,0.79904,-0.445134,0.00169458,0.558325
0.621174,0.805959,-0.445118,0.0021554,0.561425
0.613479,0.806338,-0.442146,0.00185869,0.558945
0.613479,0.806338,-0.446114,0.00169519,0.553945
0.61772,0.806247,-0.443054,0.00188554,0.56263
0.61772,0.806247,-0.444765,0.00161735,0.56108
