sigma,mu,exp_H,error,acceptance
0.59798,0.835731,-0.436368,0.00224623,0.558455
0.59798,0.835731,-0.441523,0.00176009,0.575345
0.623642,0.826531,-0.440659,0.00194805,0.56846
0.623642,0.826531,-0.442168,0.00222616,0.551475
0.615301,0.792912,-0.444762,0.0014449,0.55892
0.615301,0.792912,-0.445762,0.00149333,0.54764
0.610904,0.794181,-0.444935,0.0015107,0.55492
0.610904,0.794181,-0.445341,0.00168474,0.541875
0.610904,0.794181,-0.443223,0.00171835,0.54111
0.622117,0.80389,-0.443743,0.00164094,0.561805
0.60409,0.779702,-0.438256,0.00143752,0.54931
0.585671,0.763435,-0.430625,0.00187195,0.54105
0.611938,0.73492,-0.431084,0.00168411,0.54107
0.634174,0.759248,-0.439094,0.00229006,0.55486
0.625025,0.776149,-0.444197,0.00181356,0.55687
0.625025,0.776149,-0.441552,0.00177071,0.53745
0.625025,0.776149,-0.442315,0.00174757,0.542255
0.625025,0.776149,-0.442529,0.00176756,0.553345
0.625025,0.776149,-0.44431,0.00192765,0.55503
0.633198,0.799257,-0.444698,0.00192689,0.567785
