sigma,mu,exp_H,error,acceptance
0.600128,0.811801,-0.443845,0.00183085,0.55283
0.601778,0.812115,-0.441907,0.00161366,0.55306
0.600844,0.808426,-0.442951,0.00163787,0.555005
0.600844,0.808426,-0.440977,0.00202443,0.55233
0.600844,0.808426,-0.445795,0.00165734,0.55471
0.600844,0.808426,-0.44359,0.0015353,0.55251
0.603428,0.804347,-0.443407,0.00180369,0.555485
0.603428,0.804347,-0.443286,0.00190397,0.555705
0.601778,0.801705,-0.443195,0.00166898,0.55452
0.601778,0.801705,-0.442361,0.00167605,0.55143
0.601778,0.801705,-0.443033,0.00175149,0.553125
0.597696,0.805287,-0.444015,0.00172878,0.55424
0.601717,0.808789,-0.442788,0.00150658,0.55581
0.601717,0.808789,-0.443433,0.00166569,0.554525
0.601717,0.808789,-0.445852,0.0017666,0.556525
0.601717,0.808789,-0.444423,0.00169133,0.55458
0.59991,0.806093,-0.444768,0.00175346,0.551855
0.59719,0.802368,-0.441788,0.0016151,0.55172
0.59719,0.802368,-0.443319,0.00183094,0.553125
0.600991,0.799847,-0.444175,0.00148199,0.553925
0.600991,0.799847,-0.443248,0.00166138,0.551485
0.600991,0.799847,-0.443217,0.0015829,0.55102
0.604901,0.79642,-0.444406,0.0014611,0.554065
0.604901,0.79642,-0.443258,0.00164506,0.553555
0.604343,0.798379,-0.444177,0.00167338,0.5551
0.608757,0.800728,-0.445487,0.00159563,0.558775
0.604912,0.805199,-0.446595,0.00155821,0.55682
0.608567,0.802014,-0.442771,0.00174207,0.55865
0.608567,0.802014,-0.446118,0.00151639,0.55838
0.606418,0.799497,-0.447454,0.00149018,0.555535
0.607206,0.801037,-0.44425,0.00167036,0.555665
0.607206,0.801037,-0.443175,0.00170598,0.557785
0.607206,0.801037,-0.445673,0.00157166,0.557035
0.607206,0.801037,-0.443857,0.00165113,0.553605
0.603021,0.800056,-0.445088,0.00162134,0.55529
0.59989,0.801471,-0.444637,0.00181367,0.552995
0.59989,0.801471,-0.443873,0.00154393,0.55305
0.601066,0.798494,-0.441625,0.0020018,0.552575
0.601066,0.798494,-0.444422,0.00171546,0.552535
0.601066,0.798494,-0.445861,0.00163493,0.54953
