sigma,mu,exp_H,error,acceptance
0.620252,0.794616,-0.443678,0.00189499,0.55944
0.585119,0.758493,-0.430866,0.00202443,0.539485
0.603369,0.714557,-0.417626,0.00178399,0.531175
0.603369,0.714557,-0.416562,0.00164571,0.50734
0.597414,0.738939,-0.426931,0.00165802,0.53833
0.597731,0.756023,-0.435356,0.00166984,0.544185
0.60795,0.811677,-0.442071,0.00170595,0.55932
0.589911,0.816179,-0.437091,0.00183064,0.55006
0.589911,0.816179,-0.440156,0.0016546,0.52252
0.537873,0.859017,-0.370138,0.0034678,0.51064
0.537873,0.859017,-0.362713,0.00324161,0.46693
0.551084,0.866086,-0.38589,0.00268647,0.52083
0.551084,0.866086,-0.380213,0.00276421,0.478735
0.589931,0.849014,-0.429692,0.0020945,0.548175
0.600203,0.854648,-0.431894,0.0018806,0.55582
0.618346,0.853689,-0.429921,0.00235872,0.566645
0.618346,0.853689,-0.431107,0.00208746,0.54313
0.672293,0.796315,-0.429777,0.00234887,0.57563
0.678663,0.757568,-0.421075,0.00245744,0.560475
0.678663,0.757568,-0.419891,0.00315453,0.54862
