sigma,mu,exp_H,error,acceptance
0.611575,0.793295,-0.445025,0.00158826,0.55952
0.607748,0.792223,-0.445209,0.00170253,0.555495
0.607267,0.797263,-0.443595,0.00176841,0.55524
0.607267,0.797263,-0.445298,0.00161208,0.55811
0.60252,0.795912,-0.442782,0.00157439,0.554645
0.605579,0.791932,-0.445764,0.00169403,0.556365
0.605133,0.787371,-0.445448,0.00168476,0.552465
0.598834,0.792219,-0.443797,0.00152212,0.55024
0.599981,0.790435,-0.44418,0.00157599,0.54836
0.599981,0.790435,-0.442345,0.00176035,0.55102
0.599981,0.790435,-0.440213,0.00160666,0.54881
0.600435,0.788471,-0.442644,0.00172934,0.54998
0.594364,0.787893,-0.442991,0.00161187,0.548365
0.592159,0.788434,-0.440402,0.00160736,0.54823
0.598768,0.791221,-0.439907,0.00193932,0.551935
0.594211,0.78559,-0.438206,0.00173437,0.549655
0.599541,0.782097,-0.441715,0.00163028,0.549275
0.597103,0.777076,-0.441253,0.00175001,0.54798
0.598276,0.777058,-0.441606,0.00155619,0.54717
0.598276,0.777058,-0.438101,0.00155515,0.54494
