sigma,mu,exp_H,error,acceptance
0.511224,0.813808,-0.329764,0.00448845,0.495305
0.511224,0.813808,-0.316725,0.00421811,0.656055
0.540542,0.839725,-0.383109,0.00348316,0.514595
0.302404,1.27147,1.63861,0.0202475,0.179595
0.672138,1.4119,1.70611,0.0201837,0.41541
0.672138,1.4119,1.78499,0.0193362,0.309305
0.682169,1.01951,-0.177751,0.00688403,0.5866
0.40884,0.94141,0.244499,0.0103993,0.371085
0.40884,0.94141,0.253149,0.00948787,0.20326
0.40884,0.94141,0.241543,0.0107487,0.192535
0.443118,0.968773,0.0472242,0.00627479,0.39327
0.535398,0.817667,-0.371161,0.0032684,0.5138
0.795448,0.850326,-0.257206,0.00745948,0.60415
0.506073,0.756295,-0.308081,0.00383363,0.49293
0.499242,0.995631,-0.148789,0.00412006,0.437785
0.524379,0.904555,-0.30716,0.00328149,0.487205
0.524379,0.904555,-0.307751,0.00359721,0.10127
0.677348,0.877128,-0.384882,0.00363976,0.594925
0.610247,0.604758,-0.319769,0.00258039,0.467325
0.610247,0.604758,-0.320573,0.00273731,0.21842
